y,u_x,u_y,nu_tilde,nu_t,nu_t_over_nu,wall_distance,du_dy
2.2769333558083640e-04,7.8936056524429574e-02,0.0000000000000000e+00,1.0949434155402774e-05,6.2746108615133305e-10,1.5686527153783324e-05,2.2769333558083640e-04,3.4627708559510188e+02
2.7095433213097930e-04,9.3913006220043546e-02,0.0000000000000000e+00,1.3027926696337934e-05,1.2574892576648005e-09,3.1437231441620010e-05,2.7095433213097930e-04,3.4612112013172816e+02
3.1797007088343323e-04,1.1018212454031630e-01,0.0000000000000000e+00,1.5285923391551542e-05,2.3831094121020410e-09,5.9577735302551020e-05,3.1797007088343323e-04,3.4594765507602506e+02
3.6873878172219990e-04,1.2774062097717515e-01,0.0000000000000000e+00,1.7723048329195646e-05,4.3061894545536531e-09,1.0765473636384132e-04,3.6873878172219990e-04,3.4575402689576924e+02
4.2325855323401831e-04,1.4658527358412082e-01,0.0000000000000000e+00,2.0338884172569132e-05,7.4678224358268888e-09,1.8669556089567221e-04,4.2325855323401831e-04,3.4553636193144484e+02
4.8152733278030715e-04,1.6671230036006388e-01,0.0000000000000000e+00,2.3132971819400081e-05,1.2494994023584638e-08,3.1237485058961591e-04,4.8152733278030715e-04,3.4528917896850908e+02
5.4354292657445848e-04,1.8811717749151224e-01,0.0000000000000000e+00,2.6104809412058055e-05,2.0257690790266674e-08,5.0644226975666683e-04,5.4354292657445848e-04,3.4500490752717155e+02
6.0930299976439404e-04,2.1079438888589005e-01,0.0000000000000000e+00,2.9253850583188979e-05,3.1937633961596486e-08,7.9844084903991203e-04,6.0930299976439404e-04,3.4467331575615094e+02
6.7880507652055009e-04,2.3473708882016950e-01,0.0000000000000000e+00,3.2579501856999162e-05,4.9109735722754327e-08,1.2277433930688582e-03,6.7880507652055009e-04,3.4428084520764651e+02
7.5204654012900329e-04,2.5993665709850855e-01,0.0000000000000000e+00,3.6081119141080420e-05,7.3837216807778745e-08,1.8459304201944684e-03,7.5204654012900329e-04,3.4380985524313292e+02
8.2902463309004755e-04,2.8638212419352949e-01,0.0000000000000000e+00,3.9758003240937461e-05,1.0878107492316544e-07,2.7195268730791358e-03,8.2902463309004755e-04,3.4323778816219669e+02
9.0973645722199905e-04,3.1405944293116811e-01,0.0000000000000000e+00,4.3609394313173891e-05,1.5732423031570866e-07,3.9331057578927166e-03,9.0973645722199905e-04,3.4253627829340894e+02
9.9417897377028779e-04,3.4295058406956597e-01,0.0000000000000000e+00,4.7634465146985665e-05,2.2371017142641854e-07,5.5927542856604633e-03,9.9417897377028779e-04,3.4167024523018063e+02
1.0823490035218985e-03,3.7303243656420843e-01,0.0000000000000000e+00,5.1832313129284093e-05,3.1319525229085233e-07,7.8298813072713077e-03,1.0823490035218985e-03,3.4059703399627892e+02
1.1742432269250536e-03,4.0427550061213707e-01,0.0000000000000000e+00,5.6201950707710777e-05,4.3221292652728045e-07,1.0805323163182010e-02,1.1742432269250536e-03,3.3926569356212940e+02
1.2698581842141565e-03,4.3664237415730761e-01,0.0000000000000000e+00,6.0742294119366708e-05,5.8854711590742182e-07,1.4713677897685544e-02,1.2698581842141565e-03,3.3761651913352443e+02
1.3691902755401332e-03,4.7008605292895594e-01,0.0000000000000000e+00,6.5452150104272392e-05,7.9151058766264588e-07,1.9787764691566144e-02,1.3691902755401332e-03,3.3558102047928560e+02
