y,u_x,u_y,nu_tilde,nu_t,nu_t_over_nu,wall_distance,du_dy
2.2769333558083640e-04,3.3640316368203288e-01,0.0000000000000000e+00,2.5314055401776667e-05,9.1749648528591322e-09,1.8349929705718264e-04,2.2769333558083640e-04,1.4755142488021484e+03
2.7095433213097930e-04,4.0021684013131659e-01,0.0000000000000000e+00,3.0117733478026830e-05,1.8379723315258762e-08,3.6759446630517520e-04,2.7095433213097930e-04,1.4745847641015039e+03
3.1797007088343323e-04,4.6951993726285973e-01,0.0000000000000000e+00,3.5335693635673347e-05,3.4812991437352587e-08,6.9625982874705174e-04,3.1797007088343323e-04,1.4733780430677316e+03
3.6873878172219990e-04,5.4428513127535494e-01,0.0000000000000000e+00,4.0966930180134829e-05,6.2861062815634901e-08,1.2572212563126981e-03,3.6873878172219990e-04,1.4717627239440967e+03
4.2325855323401831e-04,6.2447259858245030e-01,0.0000000000000000e+00,4.7010320751284723e-05,1.0891318552280149e-07,2.1782637104560297e-03,4.2325855323401831e-04,1.4695493963811750e+03
4.8152733278030715e-04,7.1002380920141528e-01,0.0000000000000000e+00,5.3464618348898454e-05,1.8201191331722787e-07,3.6402382663445572e-03,4.8152733278030715e-04,1.4664734287621513e+03
5.4354292657445848e-04,8.0085295050629457e-01,0.0000000000000000e+00,6.0328443152977729e-05,2.9463017431763739e-07,5.8926034863527477e-03,5.4354292657445848e-04,1.4621761420670373e+03
6.0930299976439404e-04,8.9683550364607456e-01,0.0000000000000000e+00,6.7600275123804506e-05,4.6357533436774924e-07,9.2715066873549842e-03,6.0930299976439404e-04,1.4561860198716304e+03
6.7880507652055009e-04,9.9779362452212472e-01,0.0000000000000000e+00,7.5278448077980447e-05,7.1101069048356230e-07,1.4220213809671246e-02,6.7880507652055009e-04,1.4479029601974617e+03
7.5204654012900329e-04,1.1034782910391630e+00,0.0000000000000000e+00,8.3361145064668642e-05,1.0655711019265730e-06,2.1311422038531459e-02,7.5204654012900329e-04,1.4365903020367714e+03
8.2902463309004755e-04,1.2135487487964320e+00,0.0000000000000000e+00,9.1846393079872052e-05,1.5635312826057271e-06,3.1270625652114539e-02,8.2902463309004755e-04,1.4213812926714600e+03
9.0973645722199905e-04,1.3275506847780225e+00,0.0000000000000000e+00,1.0073205219761427e-04,2.2499623071344883e-06,4.4999246142689762e-02,9.0973645722199905e-04,1.4013082330360585e+03
9.9417897377028779e-04,1.4448957826185729e+00,0.0000000000000000e+00,1.1001579020852959e-04,3.1797842366286014e-06,6.3595684732572030e-02,9.9417897377028779e-04,1.3753626737203404e+03
