# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 9.5168000295591508e-05 2.7550688849698152e-03
0002 9.5167200249339143e-05 2.6052816278950754e-03
0003 9.5166408470989525e-05 2.4612192147939302e-03
0004 9.5165623200528428e-05 2.3224888965794142e-03
0005 9.5164843203691845e-05 2.1888403027760955e-03
0006 9.5164067616116752e-05 2.0601206064581779e-03
0007 9.5163295832573170e-05 1.9362405808456653e-03
0008 9.5162527428758486e-05 1.8171494428476243e-03
0009 9.5161762106480278e-05 1.7028174681126024e-03
0010 9.5160999654623758e-05 1.5932232957025540e-03
0011 9.5160239922224534e-05 1.4883450810674577e-03
0012 9.5159482798910295e-05 1.3881550779588823e-03
0013 9.5158728201972991e-05 1.2926160950837745e-03
0014 9.5157976066709347e-05 1.2016798042673649e-03
0015 9.5157226340484546e-05 1.1152863254215170e-03
0016 9.5156478977984033e-05 1.0333641990740096e-03
0017 9.5155733938509393e-05 9.5583180451108175e-04
