# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 5.4579641895747906e-05 4.2316455300039817e-03
0002 5.4579438544507404e-05 4.0951852268509767e-03
0003 5.4579239699690069e-05 3.9594181948317654e-03
0004 5.4579044191602912e-05 3.8246754195250050e-03
0005 5.4578851115674742e-05 3.6912592724161440e-03
0006 5.4578659777041762e-05 3.5594444644271887e-03
0007 5.4578469644932818e-05 3.4294778994514068e-03
0008 5.4578280317893482e-05 3.3015800566045805e-03
0009 5.4578091495087302e-05 3.1759458671530528e-03
0010 5.4577902955246858e-05 3.0527462057761338e-03
0011 5.4577714537924281e-05 2.9321284735527894e-03
0012 5.4577526130253164e-05 2.8142186932122734e-03
0013 5.4577337656394648e-05 2.6991227550010994e-03
0014 5.4577149068072457e-05 2.5869272255936442e-03
0015 5.4576960338358288e-05 2.4777013337048746e-03
0016 5.4576771456338238e-05 2.3714982208362643e-03
0017 5.4576582422930733e-05 2.2683561259696007e-03
0018 5.4576393247622326e-05 2.1682996468766085e-03
0019 5.4576203945806776e-05 2.0713408362932457e-03
0020 5.4576014537110726e-05 1.9774805208347358e-03
0021 5.4575825043709755e-05 1.8867093720260557e-03
0022 5.4575635489108051e-05 1.7990088294768389e-03
0023 5.4575445897797748e-05 1.7143523680352810e-03
0024 5.4575256293989854e-05 1.6327058765862282e-03
0025 5.4575066701304377e-05 1.5540287278954135e-03
0026 5.4574877142820328e-05 1.4782749789878347e-03
0027 5.4574687640376555e-05 1.4053934145968430e-03
0028 5.4574498214524320e-05 1.3353285944808987e-03
0029 5.4574308884634324e-05 1.2680216226172328e-03
0030 5.4574119668988602e-05 1.2034105298229479e-03
0031 5.4573930583946552e-05 1.1414304181975113e-03
0032 5.4573741644962952e-05 1.0820147477637336e-03
0033 5.4573552866110254e-05 1.0250953006812904e-03
0034 5.4573364259974432e-05 9.7060253431115412e-04
