# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 1.2565680914496837e-04 3.8024887225862462e-03
0002 1.2564361208571725e-04 3.6013614072903767e-03
0003 1.2563107531011201e-04 3.3781117863283740e-03
0004 1.2561912924985761e-04 3.1426749648446510e-03
0005 1.2560772057969814e-04 2.9025072741676763e-03
0006 1.2559680678126699e-04 2.6631554804060495e-03
0007 1.2558635271772741e-04 2.4286928086300376e-03
0008 1.2557632844669808e-04 2.2020555078210140e-03
0009 1.2556670780343194e-04 1.9853026289800486e-03
0010 1.2555746747013077e-04 1.7798193485752515e-03
0011 1.2554858634975587e-04 1.5864760769316430e-03
0012 1.2554004513715738e-04 1.4057551393111833e-03
0013 1.2553182601666963e-04 1.2378530946857006e-03
0014 1.2552391244482659e-04 1.0827648429251699e-03
0015 1.2551628898645369e-04 9.4035691635734541e-04
0016 1.2550894119017688e-04 8.1043467460927996e-04
0017 1.2550185548949292e-04 6.9281079730099896e-04
0018 1.2549501912211800e-04 5.8738378333514775e-04
0019 1.2548842006298799e-04 4.9423510778106878e-04
0020 1.2548204696657153e-04 4.1375465940991752e-04
0021 1.2547588911745937e-04 3.4677771450700737e-04
0022 1.2546993638645090e-04 2.9463999081035398e-04
0023 1.2546417919107020e-04 2.5887395361170226e-04
0024 1.2545860845998384e-04 2.4020636213917498e-04
0025 1.2545321560022922e-04 2.3724848323185965e-04
0026 1.2544799247009059e-04 2.4637851875781752e-04
0027 1.2544293134855285e-04 2.6322731252246824e-04
0028 1.2543802491222535e-04 2.8414357460690366e-04
0029 1.2543326621175947e-04 3.0664176193357425e-04
0030 1.2542864864984238e-04 3.2920917406524742e-04
0031 1.2542416596124132e-04 3.5098738890662802e-04
0032 1.2541981219413011e-04 3.7152230533286885e-04
0033 1.2541558169143339e-04 3.9060194248311875e-04
0034 1.2541146907685095e-04 4.0815750013401344e-04
0035 1.2540746923667758e-04 4.2420368549884866e-04
0036 1.2540357730652805e-04 4.3880299462547098e-04
0037 1.2539978865835357e-04 4.5204386507590138e-04
0038 1.2539609888663662e-04 4.6402694409557427e-04
0039 1.2539250379683774e-04 4.7485718174648811e-04
0040 1.2538899939480223e-04 4.8463849793802698e-04
0041 1.2538558187479278e-04 4.9347079326940186e-04
0042 1.2538224761097244e-04 5.0144824255809529e-04
0043 1.2537899314682356e-04 5.0865830911907652e-04
0044 1.2537581518731148e-04 5.1518129886916095e-04
0045 1.2537271058910983e-04 5.2109057236237406e-04
0046 1.2536967635506970e-04 5.2645248335282246e-04
0047 1.2536670962417511e-04 5.3132675707516822e-04
0048 1.2536380766664201e-04 5.3576708415675278e-04
0049 1.2536096787588003e-04 5.3982132617720385e-04
0050 1.2535818776275058e-04 5.4353219969683144e-04
0051 1.2535546495007856e-04 5.4693758355172371e-04
0052 1.2535279716681253e-04 5.5007103046315236e-04
0053 1.2535018224192368e-04 5.5296219496184088e-04
0054 1.2534761810075991e-04 5.5563725754210992e-04
0055 1.2534510275960753e-04 5.5811926091014238e-04
0056 1.2534263432109581e-04 5.6042845749711210e-04
0057 1.2534021097037907e-04 5.6258256386557235e-04
0058 1.2533783097083053e-04 5.6459716186065380e-04
0059 1.2533549266058154e-04 5.6648595391056700e-04
0060 1.2533319444851392e-04 5.6826093051831465e-04
0061 1.2533093481111165e-04 5.6993252695704906e-04
0062 1.2532871228921932e-04 5.7150990775305371e-04
0063 1.2532652548504877e-04 5.7300112659885668e-04
0064 1.2532437305895567e-04 5.7441323777976123e-04
0065 1.2532225372748006e-04 5.7575240021427298e-04
0066 1.2532016625932277e-04 5.7702410492415745e-04
0067 1.2531810947438048e-04 5.7823299441600096e-04
0068 1.2531608224092128e-04 5.7938337298848574e-04
0069 1.2531408347273620e-04 5.8047899983198841e-04
0070 1.2531211212780412e-04 5.8152311146305311e-04
0071 1.2531016720577370e-04 5.8251874307044184e-04
0072 1.2530824774638414e-04 5.8346846065415628e-04
0073 1.2530635282775469e-04 5.8437465460750310e-04
0074 1.2530448156421921e-04 5.8523946685717682e-04
0075 1.2530263310496953e-04 5.8606479444314144e-04
0076 1.2530080663260691e-04 5.8685245286615268e-04
0077 1.2529900136135986e-04 5.8760410390839624e-04
0078 1.2529721653621809e-04 5.8832116474834067e-04
0079 1.2529545143076539e-04 5.8900505039375100e-04
0080 1.2529370534686840e-04 5.8965706619908890e-04
0081 1.2529197761274659e-04 5.9027843488128405e-04
0082 1.2529026758221684e-04 5.9087026528510406e-04
0083 1.2528857463351231e-04 5.9143358928055072e-04
0084 1.2528689816801924e-04 5.9196947642292989e-04
0085 1.2528523760994305e-04 5.9247887296142452e-04
0086 1.2528359240425693e-04 5.9296269238766906e-04
0087 1.2528196201702142e-04 5.9342185958821507e-04
0088 1.2528034593399048e-04 5.9385716365107255e-04
0089 1.2527874365944480e-04 5.9426947758602457e-04
0090 1.2527715471613189e-04 5.9465956726730310e-04
0091 1.2527557864383158e-04 5.9502815877547860e-04
0092 1.2527401499956483e-04 5.9537598823920183e-04
0093 1.2527246335562967e-04 5.9570377493183284e-04
0094 1.2527092330043906e-04 5.9601220464552691e-04
0095 1.2526939443667235e-04 5.9630190973752949e-04
0096 1.2526787638140333e-04 5.9657352395913496e-04
0097 1.2526636876546474e-04 5.9682769157343293e-04
0098 1.2526487123242787e-04 5.9706498817548178e-04
0099 1.2526338343896745e-04 5.9728597535059795e-04
0100 1.2526190505355984e-04 5.9749127866738508e-04
0101 1.2526043575626313e-04 5.9768141368162604e-04
0102 1.2525897523902032e-04 5.9785687326160692e-04
0103 1.2525752320365223e-04 5.9801818016874404e-04
0104 1.2525607936323259e-04 5.9816580680064203e-04
0105 1.2525464344063258e-04 5.9830027712351225e-04
0106 1.2525321516791506e-04 5.9842207740581454e-04
0107 1.2525179428706537e-04 5.9853158192216217e-04
0108 1.2525038054898274e-04 5.9862921178083998e-04
0109 1.2524897371308391e-04 5.9871546377978193e-04
0110 1.2524757354693801e-04 5.9879073710609478e-04
0111 1.2524617982660922e-04 5.9885538914452934e-04
0112 1.2524479233563636e-04 5.9890984973608077e-04
0113 1.2524341086540147e-04 5.9895440803751237e-04
0114 1.2524203521417396e-04 5.9898945196281491e-04
0115 1.2524066518733429e-04 5.9901536251108045e-04
0116 1.2523930059736780e-04 5.9903248145813106e-04
0117 1.2523794126266142e-04 5.9904110182161540e-04
0118 1.2523658700861498e-04 5.9904150855020610e-04
0119 1.2523523766613505e-04 5.9903406113878243e-04
0120 1.2523389307241166e-04 5.9901906379607140e-04
0121 1.2523255307048765e-04 5.9899678362527325e-04
0122 1.2523121750810827e-04 5.9896748641012285e-04
0123 1.2522988623940679e-04 5.9893139738628623e-04
0124 1.2522855912310056e-04 5.9888881199264890e-04
0125 1.2522723602307207e-04 5.9884001823646920e-04
0126 1.2522591680773798e-04 5.9878525706385437e-04
0127 1.2522460135066832e-04 5.9872470318100151e-04
0128 1.2522328952978520e-04 5.9865857269163854e-04
0129 1.2522198122732393e-04 5.9858720969638724e-04
0130 1.2522067632969342e-04 5.9851071622140522e-04
0131 1.2521937472765912e-04 5.9842931432802795e-04
0132 1.2521807631588766e-04 5.9834321167732117e-04
0133 1.2521678099281734e-04 5.9825257160500624e-04
0134 1.2521548866078520e-04 5.9815765210305416e-04
0135 1.2521419922549047e-04 5.9805857089537595e-04
0136 1.2521291259644325e-04 5.9795553288198382e-04
0137 1.2521162868645827e-04 5.9784868998579235e-04
0138 1.2521034741160432e-04 5.9773824016920104e-04
0139 1.2520906869099705e-04 5.9762430575745814e-04
0140 1.2520779244722734e-04 5.9750705856174535e-04
0141 1.2520651860563835e-04 5.9738655638067665e-04
0142 1.2520524709448024e-04 5.9726304216637348e-04
0143 1.2520397784477748e-04 5.9713666859104164e-04
