# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 9.9909767380837512e-05 2.4513065149570825e-03
0002 9.9909035810355612e-05 2.3180457676645607e-03
0003 9.9908310162027104e-05 2.1901222466976494e-03
0004 9.9907588872755020e-05 2.0671392356685202e-03
0005 9.9906870864070800e-05 1.9488341147221207e-03
0006 9.9906155397356877e-05 1.8350366182612638e-03
0007 9.9905441971508260e-05 1.7256379702219914e-03
0008 9.9904730250922433e-05 1.6205684765313662e-03
0009 9.9904020014442968e-05 1.5197806219317187e-03
0010 9.9903311119545188e-05 1.4232375477169900e-03
0011 9.9902603477034247e-05 1.3309046205332330e-03
0012 9.9901897033541161e-05 1.2427444454264757e-03
0013 9.9901191759145554e-05 1.1587130828037918e-03
0014 9.9900487638829844e-05 1.0787583547663352e-03
0015 9.9899784666684086e-05 1.0028190330473160e-03
0016 9.9899082841924306e-05 9.3082493580007894e-04
