# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 7.8889199029185463e-05 3.5611619922914606e-03
0002 7.8889679807760143e-05 3.3966575768010813e-03
0003 7.8890180047690799e-05 3.2349178407569219e-03
0004 7.8890697246157741e-05 3.0763900276297254e-03
0005 7.8891229556683247e-05 2.9214932699369381e-03
0006 7.8891775590543504e-05 2.7706061438849735e-03
0007 7.8892334297363029e-05 2.6240624659867552e-03
0008 7.8892904846149847e-05 2.4821446722733506e-03
0009 7.8893486574826741e-05 2.3450837218315923e-03
0010 7.8894078941802226e-05 2.2130590097974678e-03
0011 7.8894681476378604e-05 2.0862014869925945e-03
0012 7.8895293773811778e-05 1.9645968215972680e-03
0013 7.8895915470375812e-05 1.8482908709070941e-03
0014 7.8896546230853854e-05 1.7372907696205149e-03
0015 7.8897185743360539e-05 1.6315703061241190e-03
0016 7.8897833718257125e-05 1.5310757098413947e-03
0017 7.8898489871430898e-05 1.4357267692747776e-03
0018 7.8899153936077702e-05 1.3454212804314687e-03
0019 7.8899825650380494e-05 1.2600393724514387e-03
0020 7.8900504767168852e-05 1.1794475681023975e-03
0021 7.8901191045655582e-05 1.1034985963239608e-03
0022 7.8901884242389198e-05 1.0320373950137420e-03
0023 7.8902584136259489e-05 9.6490153391178761e-04
