# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 5.4694074627443373e-05 4.1255626279538566e-03
0002 5.4693863050804542e-05 3.9929351965525333e-03
0003 5.4693655978595892e-05 3.8609320277977911e-03
0004 5.4693452223140526e-05 3.7298817105672014e-03
0005 5.4693250866497321e-05 3.6000843705077815e-03
0006 5.4693051204231704e-05 3.4718125705848505e-03
0007 5.4692852698820513e-05 3.3453111405633636e-03
0008 5.4692654944397738e-05 3.2207987580356381e-03
0009 5.4692457637808492e-05 3.0984685449635249e-03
0010 5.4692260556385371e-05 2.9784898739053430e-03
0011 5.4692063539820701e-05 2.8610091701888121e-03
0012 5.4691866476336917e-05 2.7461515615056983e-03
0013 5.4691669291316896e-05 2.6340220756361455e-03
0014 5.4691471938846559e-05 2.5247072273380470e-03
0015 5.4691274394268878e-05 2.4182759341556687e-03
0016 5.4691076649401292e-05 2.3147814735310257e-03
0017 5.4690878707946331e-05 2.2142621868414297e-03
0018 5.4690680581908626e-05 2.1167431910603988e-03
0019 5.4690482289951370e-05 2.0222375251884714e-03
0020 5.4690283854386752e-05 1.9307466816159968e-03
0021 5.4690085300284455e-05 1.8422624457555385e-03
0022 5.4689886653846844e-05 1.7567673009506802e-03
0023 5.4689687942082245e-05 1.6742359991494104e-03
0024 5.4689489191714119e-05 1.5946358711869581e-03
0025 5.4689290429010090e-05 1.5179279306456832e-03
0026 5.4689091678973310e-05 1.4440675784681938e-03
0027 5.4688892965776018e-05 1.3730054248449718e-03
0028 5.4688694311947144e-05 1.3046876658728427e-03
0029 5.4688495738782485e-05 1.2390571412861909e-03
0030 5.4688297266042052e-05 1.1760534711019338e-03
0031 5.4688098912078678e-05 1.1156140537432579e-03
0032 5.4687900693599016e-05 1.0576739153789637e-03
0033 5.4687702626124173e-05 1.0021667928633376e-03
0034 5.4687504723906881e-05 9.4902520974511954e-04
