# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 5.7665998144464323e-05 3.8958682631968469e-03
0002 5.7665791376649464e-05 3.7718022909671426e-03
0003 5.7665588774354369e-05 3.6481582131615113e-03
0004 5.7665389170774746e-05 3.5252630605893819e-03
0005 5.7665191666708232e-05 3.4034157347943707e-03
0006 5.7664995573874238e-05 3.2828873166132256e-03
0007 5.7664800370129455e-05 3.1639219497849379e-03
0008 5.7664605663771342e-05 3.0467376519182272e-03
0009 5.7664411165343440e-05 2.9315275453333880e-03
0010 5.7664216665164138e-05 2.8184610585470838e-03
0011 5.7664022015701784e-05 2.7076853258876858e-03
0012 5.7663827117403153e-05 2.5993263759325797e-03
0013 5.7663631907657270e-05 2.4934906444264060e-03
0014 5.7663436352019892e-05 2.3902662702102715e-03
0015 5.7663240437261504e-05 2.2897244473808406e-03
0016 5.7663044166028487e-05 2.1919207762005604e-03
0017 5.7662847552494019e-05 2.0968964481248914e-03
0018 5.7662650619050095e-05 2.0046794824003199e-03
0019 5.7662453393796924e-05 1.9152859702353136e-03
0020 5.7662255908439755e-05 1.8287210609744305e-03
0021 5.7662058196816186e-05 1.7449800866011836e-03
0022 5.7661860293747267e-05 1.6640495390385431e-03
0023 5.7661662234047333e-05 1.5859078742842397e-03
0024 5.7661464052056000e-05 1.5105266145655750e-03
0025 5.7661265780990866e-05 1.4378709362987084e-03
0026 5.7661067452718598e-05 1.3679005311141074e-03
0027 5.7660869097513703e-05 1.3005703052908311e-03
0028 5.7660670743841315e-05 1.2358309200146179e-03
0029 5.7660472418463012e-05 1.1736295903112981e-03
0030 5.7660274146182406e-05 1.1139104244569900e-03
0031 5.7660075950042784e-05 1.0566150390849531e-03
0032 5.7659877851215207e-05 1.0016830101333783e-03
0033 5.7659679869231650e-05 9.4905230040052762e-04
