# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 5.6928328135498822e-05 3.9242241245126298e-03
0002 5.6928119814178809e-05 3.7991201847469547e-03
0003 5.6927915756886987e-05 3.6744634350372829e-03
0004 5.6927714786276384e-05 3.5505809716839145e-03
0005 5.6927515994233451e-05 3.4277717271758742e-03
0006 5.6927318684968143e-05 3.3063068607778363e-03
0007 5.6927122329773148e-05 3.1864304515769283e-03
0008 5.6926926531273820e-05 3.0683605467384410e-03
0009 5.6926730994995035e-05 2.9522902397974360e-03
0010 5.6926535506793609e-05 2.8383888959890836e-03
0011 5.6926339915106801e-05 2.7268035346007559e-03
0012 5.6926144116732847e-05 2.6176600248677853e-03
0013 5.6925948045650686e-05 2.5110645735130881e-03
0014 5.6925751664406866e-05 2.4071051817286969e-03
0015 5.6925554956912572e-05 2.3058527345952121e-03
0016 5.6925357923173502e-05 2.2073625302606861e-03
0017 5.6925160574877323e-05 2.1116753901108554e-03
0018 5.6924962932172136e-05 2.0188190260440101e-03
0019 5.6924765021016505e-05 1.9288091048072539e-03
0020 5.6924566871102372e-05 1.8416503674314236e-03
0021 5.6924368514470545e-05 1.7573376939766508e-03
0022 5.6924169984157317e-05 1.6758570862199754e-03
0023 5.6923971313446487e-05 1.5971866045696433e-03
0024 5.6923772535105470e-05 1.5212971859830909e-03
0025 5.6923573680998184e-05 1.4481535441328937e-03
0026 5.6923374781688591e-05 1.3777148385026232e-03
0027 5.6923175866253550e-05 1.3099354552796843e-03
0028 5.6922976962081521e-05 1.2447655535085063e-03
0029 5.6922778094842594e-05 1.1821517566252360e-03
0030 5.6922579288438265e-05 1.1220376630176551e-03
0031 5.6922380565030405e-05 1.0643643950398851e-03
0032 5.6922181945028191e-05 1.0090709685837769e-03
0033 5.6921983447172540e-05 9.5609480853170263e-04
