# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 6.7040688596848021e-05 3.7720387490168517e-03
0002 6.7040902204506330e-05 3.6043692303327846e-03
0003 6.7041138461256265e-05 3.4374652013026744e-03
0004 6.7041394388453384e-05 3.2722684626766197e-03
0005 6.7041667784621569e-05 3.1095977542212878e-03
0006 6.7041956998348660e-05 2.9501540238438548e-03
0007 6.7042260767793128e-05 2.7945280561783377e-03
0008 6.7042578107122841e-05 2.6432081331258634e-03
0009 6.7042908226280600e-05 2.4965889774485775e-03
0010 6.7043250474461784e-05 2.3549804068820511e-03
0011 6.7043604300363549e-05 2.2186161761862280e-03
0012 6.7043969224139181e-05 2.0876621777878050e-03
0013 6.7044344817864925e-05 1.9622244939041973e-03
0014 6.7044730691870824e-05 1.8423571060399951e-03
0015 6.7045126485181208e-05 1.7280682282365882e-03
0016 6.7045531858853108e-05 1.6193269508587814e-03
0017 6.7045946491672248e-05 1.5160692508601865e-03
0018 6.7046370076668822e-05 1.4182028983653512e-03
0019 6.7046802319168535e-05 1.3256121696595170e-03
0020 6.7047242935437009e-05 1.2381624049615958e-03
0021 6.7047691651350190e-05 1.1557034769604077e-03
0022 6.7048148201950358e-05 1.0780730814776052e-03
0023 6.7048612330922836e-05 1.0050999472315464e-03
0024 6.7049083790157106e-05 9.3660616599690360e-04
