# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 1.1578584559765755e-04 1.9746451145216896e-03
0002 1.1578508967961092e-04 1.8685348542508032e-03
0003 1.1578433825957690e-04 1.7667971921635655e-03
0004 1.1578358980647734e-04 1.6690798959671982e-03
0005 1.1578284327823473e-04 1.5751455633779170e-03
0006 1.1578209797742829e-04 1.4848369623396138e-03
0007 1.1578135344885335e-04 1.3980510464096528e-03
0008 1.1578060940633709e-04 1.3147195998712221e-03
0009 1.1577986568083457e-04 1.2347952661386275e-03
0010 1.1577912218355627e-04 1.1582414172292450e-03
0011 1.1577837887962249e-04 1.0850250535485960e-03
0012 1.1577763576975916e-04 1.0151121980868682e-03
0013 1.1577689287717500e-04 9.4846466446562119e-04
0014 1.1577615023855472e-04 8.8503838068263970e-04
0015 1.1577540789757749e-04 8.2478232748189157e-04
0016 1.1577466590085050e-04 7.6763857632249001e-04
0017 1.1577392429490951e-04 7.1354246849832841e-04
0018 1.1577318312455598e-04 6.6242330100012379e-04
0019 1.1577244243130941e-04 6.1420490779485061e-04
0020 1.1577170225340983e-04 5.6880708636858574e-04
0021 1.1577096262474524e-04 5.2614595566992048e-04
0022 1.1577022357549324e-04 4.8613561161641659e-04
0023 1.1576948513167760e-04 4.4868865475733666e-04
0024 1.1576874731560842e-04 4.1371748819625807e-04
0025 1.1576801014608527e-04 3.8113511354238893e-04
0026 1.1576727363865926e-04 3.5085601036544372e-04
0027 1.1576653780583538e-04 3.2279681230635909e-04
0028 1.1576580265752190e-04 2.9687707492372708e-04
0029 1.1576506820110106e-04 2.7301962326476109e-04
0030 1.1576433444196406e-04 2.5115094421626974e-04
0031 1.1576360138340680e-04 2.3120099379142031e-04
0032 1.1576286902716890e-04 2.1310305439013131e-04
0033 1.1576213737341944e-04 1.9679288118767624e-04
0034 1.1576140642117149e-04 1.8220749928294670e-04
0035 1.1576067616812166e-04 1.6928320715458851e-04
0036 1.1575994661124324e-04 1.5795359347021837e-04
0037 1.1575921774643513e-04 1.4814658787382713e-04
0038 1.1575848956905695e-04 1.3978210369926160e-04
0039 1.1575776207385799e-04 1.3276994223279347e-04
0040 1.1575703525498616e-04 1.2700872886470038e-04
0041 1.1575630910626736e-04 1.2238655365554073e-04
0042 1.1575558362113077e-04 1.1878303755305434e-04
0043 1.1575485879274708e-04 1.1607297936516933e-04
0044 1.1575413461405882e-04 1.1413066391036968e-04
0045 1.1575341107783193e-04 1.1283435134077524e-04
0046 1.1575268817670651e-04 1.1207006528878266e-04
0047 1.1575196590333920e-04 1.1173437986826605e-04
0048 1.1575124425010596e-04 1.1173603628227733e-04
0049 1.1575052320962421e-04 1.1199645525277376e-04
0050 1.1574980277421592e-04 1.1244944623063571e-04
0051 1.1574908293657584e-04 1.1304025379453393e-04
0052 1.1574836368907391e-04 1.1372443712257717e-04
0053 1.1574764502440315e-04 1.1446642516466823e-04
0054 1.1574692693514439e-04 1.1523824355706924e-04
0055 1.1574620941410124e-04 1.1601823892427865e-04
0056 1.1574549245406048e-04 1.1678998207990210e-04
0057 1.1574477604789136e-04 1.1754127528610951e-04
0058 1.1574406018867975e-04 1.1826330958626797e-04
0059 1.1574334486944773e-04 1.1895002728161632e-04
0060 1.1574263008342904e-04 1.1959750055219941e-04
0061 1.1574191582396127e-04 1.2020344690825202e-04
0062 1.1574120208450721e-04 1.2076689255002539e-04
0063 1.1574048885852223e-04 1.2128788366617662e-04
0064 1.1573977613974656e-04 1.2176712577490097e-04
0065 1.1573906392183415e-04 1.2220596826831003e-04
0066 1.1573835219879082e-04 1.2260599429285234e-04
0067 1.1573764096446463e-04 1.2296920739975395e-04
0068 1.1573693021300157e-04 1.2329763502773664e-04
0069 1.1573621993861341e-04 1.2359344076552704e-04
0070 1.1573551013556673e-04 1.2385884110175700e-04
0071 1.1573480079825862e-04 1.2409597559528721e-04
0072 1.1573409192123804e-04 1.2430695252552506e-04
0073 1.1573338349911690e-04 1.2449382702752105e-04
0074 1.1573267552649245e-04 1.2465859164007456e-04
0075 1.1573196799828282e-04 1.2480303606928568e-04
0076 1.1573126090929004e-04 1.2492894171550073e-04
0077 1.1573055425453355e-04 1.2503792361107232e-04
0078 1.1572984802907760e-04 1.2513150338341924e-04
0079 1.1572914222810800e-04 1.2521108407359752e-04
0080 1.1572843684679265e-04 1.2527800827860110e-04
0081 1.1572773188048788e-04 1.2533343937756429e-04
0082 1.1572702732461361e-04 1.2537847946292102e-04
0083 1.1572632317463040e-04 1.2541415330806347e-04
0084 1.1572561942606569e-04 1.2544138927317276e-04
0085 1.1572491607458706e-04 1.2546100607807408e-04
0086 1.1572421311590152e-04 1.2547376698227521e-04
0087 1.1572351054576940e-04 1.2548038525937540e-04
0088 1.1572280836001792e-04 1.2548149411539602e-04
0089 1.1572210655450567e-04 1.2547767599452989e-04
0090 1.1572140512530591e-04 1.2546938042258833e-04
0091 1.1572070406840885e-04 1.2545710581282783e-04
0092 1.1572000337990684e-04 1.2544128080235322e-04
0093 1.1571930305596325e-04 1.2542227169956718e-04
0094 1.1571860309278500e-04 1.2540041662186045e-04
0095 1.1571790348665648e-04 1.2537600506118735e-04
0096 1.1571720423393607e-04 1.2534929106778765e-04
0097 1.1571650533098672e-04 1.2532056198841186e-04
0098 1.1571580677427141e-04 1.2529001682195739e-04
0099 1.1571510856018492e-04 1.2525787688860186e-04
0100 1.1571441068548740e-04 1.2522423813539509e-04
0101 1.1571371314650026e-04 1.2518936381813932e-04
0102 1.1571301594010616e-04 1.2515328464930223e-04
0103 1.1571231906289612e-04 1.2511619700385842e-04
0104 1.1571162251157620e-04 1.2507820424323697e-04
0105 1.1571092628304300e-04 1.2503935651796041e-04
0106 1.1571023037402914e-04 1.2499981018742343e-04
0107 1.1570953478147053e-04 1.2495959631588080e-04
0108 1.1570883950228302e-04 1.2491879356926297e-04
0109 1.1570814453340503e-04 1.2487748687195651e-04
0110 1.1570744987186304e-04 1.2483570745816508e-04
0111 1.1570675551473196e-04 1.2479348768148978e-04
0112 1.1570606145912866e-04 1.2475089067603694e-04
0113 1.1570536770207153e-04 1.2470800273057825e-04
0114 1.1570467424085804e-04 1.2466478852543743e-04
0115 1.1570398107261520e-04 1.2462133549916407e-04
0116 1.1570328819462356e-04 1.2457764768973768e-04
0117 1.1570259560411148e-04 1.2453375883037264e-04
0118 1.1570190329857005e-04 1.2448965968633942e-04
0119 1.1570121127517472e-04 1.2444542970268616e-04
0120 1.1570051953137297e-04 1.2440108827389661e-04
0121 1.1569982806460302e-04 1.2435662097159874e-04
0122 1.1569913687234776e-04 1.2431204305316575e-04
0123 1.1569844595206185e-04 1.2426739640885817e-04
0124 1.1569775530133526e-04 1.2422266190570988e-04
0125 1.1569706491768063e-04 1.2417787020128400e-04
0126 1.1569637479870570e-04 1.2413305568925658e-04
0127 1.1569568494203500e-04 1.2408821956537893e-04
0128 1.1569499534531028e-04 1.2404336541311237e-04
0129 1.1569430600628175e-04 1.2399847865141833e-04
0130 1.1569361692259881e-04 1.2395361136401399e-04
0131 1.1569292809207330e-04 1.2390873819540120e-04
0132 1.1569223951242778e-04 1.2386390280083760e-04
0133 1.1569155118148866e-04 1.2381910196697832e-04
0134 1.1569086309704881e-04 1.2377433517034677e-04
0135 1.1569017525708022e-04 1.2372957652991798e-04
0136 1.1568948765941461e-04 1.2368487800527031e-04
0137 1.1568880030194740e-04 1.2364025913885748e-04
0138 1.1568811318261249e-04 1.2359570578435858e-04
0139 1.1568742629942575e-04 1.2355121355414364e-04
0140 1.1568673965035950e-04 1.2350680087648647e-04
0141 1.1568605323345413e-04 1.2346246129907966e-04
0142 1.1568536704673410e-04 1.2341821996823761e-04
0143 1.1568468108829365e-04 1.2337406417360221e-04
0144 1.1568399535619636e-04 1.2333002142210991e-04
0145 1.1568330984860810e-04 1.2328606286746924e-04
0146 1.1568262456361762e-04 1.2324222646823378e-04
0147 1.1568193949940582e-04 1.2319849202966135e-04
0148 1.1568125465426264e-04 1.2315484019761777e-04
0149 1.1568057002626774e-04 1.2311134639451417e-04
0150 1.1567988561368113e-04 1.2306798398020283e-04
0151 1.1567920141480080e-04 1.2302473788125239e-04
0152 1.1567851742788300e-04 1.2298161884200396e-04
0153 1.1567783365121056e-04 1.2293864977598579e-04
0154 1.1567715008311061e-04 1.2289581017505509e-04
0155 1.1567646672199460e-04 1.2285307764317100e-04
0156 1.1567578356610776e-04 1.2281051576794536e-04
0157 1.1567510061392941e-04 1.2276806976028063e-04
0158 1.1567441786380519e-04 1.2272578726064891e-04
0159 1.1567373531415771e-04 1.2268366168847542e-04
0160 1.1567305296343823e-04 1.2264167817036280e-04
0161 1.1567237081008479e-04 1.2259985019473954e-04
0162 1.1567168885263501e-04 1.2255815394682728e-04
0163 1.1567100708950555e-04 1.2251663750846624e-04
0164 1.1567032551924229e-04 1.2247527613568648e-04
0165 1.1566964414038738e-04 1.2243406700858487e-04
0166 1.1566896295147491e-04 1.2239302130147539e-04
0167 1.1566828195106288e-04 1.2235214134339543e-04
0168 1.1566760113770816e-04 1.2231142516603845e-04
0169 1.1566692051011388e-04 1.2227083649975567e-04
0170 1.1566624006676611e-04 1.2223043171688075e-04
0171 1.1566555980639843e-04 1.2219017918766917e-04
0172 1.1566487972757681e-04 1.2215011087090915e-04
0173 1.1566419982901904e-04 1.2211020083499708e-04
0174 1.1566352010935434e-04 1.2207046189166524e-04
0175 1.1566284056731750e-04 1.2203089041950711e-04
0176 1.1566216120161185e-04 1.2199148604956377e-04
0177 1.1566148201094277e-04 1.2195225719951670e-04
0178 1.1566080299402285e-04 1.2191320498013661e-04
0179 1.1566012414966168e-04 1.2187430392451683e-04
0180 1.1565944547659559e-04 1.2183556699388015e-04
0181 1.1565876697360672e-04 1.2179699417073743e-04
0182 1.1565808863953084e-04 1.2175858623148140e-04
0183 1.1565741047306952e-04 1.2172037703309064e-04
0184 1.1565673247312170e-04 1.2168232633117309e-04
0185 1.1565605463850946e-04 1.2164444392465014e-04
0186 1.1565537696805695e-04 1.2160673015141790e-04
0187 1.1565469946066209e-04 1.2156918389875610e-04
0188 1.1565402211514502e-04 1.2153181911537244e-04
0189 1.1565334493043705e-04 1.2149461689925061e-04
0190 1.1565266790539411e-04 1.2145757928201679e-04
0191 1.1565199103895573e-04 1.2142071879281639e-04
0192 1.1565131433002302e-04 1.2138402909859650e-04
0193 1.1565063777748422e-04 1.2134752780915411e-04
0194 1.1564996138037462e-04 1.2131116417427490e-04
0195 1.1564928513756996e-04 1.2127498960730923e-04
0196 1.1564860904806358e-04 1.2123896671097492e-04
0197 1.1564793311087684e-04 1.2120310617921079e-04
0198 1.1564725732488679e-04 1.2116743500648513e-04
0199 1.1564658168920571e-04 1.2113190872470893e-04
0200 1.1564590620272180e-04 1.2109657052412478e-04
0201 1.1564523086454408e-04 1.2106139117841488e-04
0202 1.1564455567367058e-04 1.2102638360435991e-04
0203 1.1564388062912322e-04 1.2099154479825068e-04
0204 1.1564320572996894e-04 1.2095686856182215e-04
0205 1.1564253097524587e-04 1.2092235892963728e-04
0206 1.1564185636405161e-04 1.2088800596795547e-04
0207 1.1564118189542170e-04 1.2085382791142445e-04
0208 1.1564050756846351e-04 1.2081981773179139e-04
0209 1.1563983338224420e-04 1.2078598196015935e-04
0210 1.1563915933587690e-04 1.2075230228117878e-04
0211 1.1563848542852392e-04 1.2071877176668831e-04
