# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 5.6742799622728654e-05 4.0194034768976381e-03
0002 5.6742607064583640e-05 3.8908604901886218e-03
0003 5.6742418773835040e-05 3.7628250306134385e-03
0004 5.6742233587751009e-05 3.6356272387949710e-03
0005 5.6742050609138374e-05 3.5095686877622254e-03
0006 5.6741869150323792e-05 3.3849230747289389e-03
0007 5.6741688688229231e-05 3.2619366183539084e-03
0008 5.6741508829307428e-05 3.1408293655878780e-03
0009 5.6741329281288072e-05 3.0217960126945288e-03
0010 5.6741149830951849e-05 2.9050072609741488e-03
0011 5.6740970326756596e-05 2.7906111928262018e-03
0012 5.6740790664625313e-05 2.6787344056939679e-03
0013 5.6740610777220333e-05 2.5694836990539697e-03
0014 5.6740430625103822e-05 2.4629472585434944e-03
0015 5.6740250190163097e-05 2.3591961627360686e-03
0016 5.6740069469889831e-05 2.2582854415159320e-03
0017 5.6739888473522306e-05 2.1602555775977893e-03
0018 5.6739707218473068e-05 2.0651336677171227e-03
0019 5.6739525728077242e-05 1.9729347275504960e-03
0020 5.6739344029352159e-05 1.8836625275104688e-03
0021 5.6739162151695154e-05 1.7973110042522906e-03
0022 5.6738980125626613e-05 1.7138650414650928e-03
0023 5.6738797981959920e-05 1.6333014260176298e-03
0024 5.6738615751079768e-05 1.5555897641008508e-03
0025 5.6738433462613091e-05 1.4806933737866303e-03
0026 5.6738251144982094e-05 1.4085698962950919e-03
0027 5.6738068825198766e-05 1.3391721606095749e-03
0028 5.6737886528794164e-05 1.2724488135238239e-03
0029 5.6737704279690586e-05 1.2083448560836136e-03
0030 5.6737522100100216e-05 1.1468021620715098e-03
0031 5.6737340010586352e-05 1.0877601496589709e-03
0032 5.6737158030149394e-05 1.0311562186387626e-03
0033 5.6736976176287008e-05 9.7692615876601393e-04
