# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 7.9453103515720477e-05 3.5088260821373399e-03
0002 7.9450543427572235e-05 3.3391601144560734e-03
0003 7.9448000560002473e-05 3.1696329521764140e-03
0004 7.9445471795269406e-05 3.0012984612698135e-03
0005 7.9442954837207256e-05 2.8350806199352058e-03
0006 7.9440447982081727e-05 2.6717780181366247e-03
0007 7.9437949954289769e-05 2.5120706737633428e-03
0008 7.9435459788159627e-05 2.3565282852105042e-03
0009 7.9432976743240279e-05 2.2056192441180533e-03
0010 7.9430500243141971e-05 2.0597200823145004e-03
0011 7.9428029831263503e-05 1.9191248464794895e-03
0012 7.9425565139329627e-05 1.7840543577693694e-03
0013 7.9423105864009780e-05 1.6546650766159157e-03
0014 7.9420651750552679e-05 1.5310575862151029e-03
0015 7.9418202580420271e-05 1.4132846370068721e-03
0016 7.9415758162657287e-05 1.3013587446872471e-03
0017 7.9413318327353348e-05 1.1952593199091588e-03
0018 7.9410882920971185e-05 1.0949395377890716e-03
0019 7.9408451802849930e-05 1.0003329037796618e-03
0020 7.9406024842665487e-05 9.1135973367891009e-04
