# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 8.5341691203089971e-05 3.5105149798596758e-03
0002 8.5340215623630109e-05 3.3399915681652141e-03
0003 8.5338755084086947e-05 3.1707547444625220e-03
0004 8.5337306767097970e-05 3.0036094493320815e-03
0005 8.5335868609161061e-05 2.8392754532548070e-03
0006 8.5334439089025074e-05 2.6783836779989433e-03
0007 8.5333017076134266e-05 2.5214763548007282e-03
0008 8.5331601721679699e-05 2.3690098859424462e-03
0009 8.5330192380633286e-05 2.2213593784247954e-03
0010 8.5328788555567056e-05 2.0788244725744908e-03
0011 8.5327389856229132e-05 1.9416357339575594e-03
0012 8.5325995970578472e-05 1.8099613268860221e-03
0013 8.5324606643845291e-05 1.6839138009313985e-03
0014 8.5323221663244884e-05 1.5635568082296100e-03
0015 8.5321840847340491e-05 1.4489114346863694e-03
0016 8.5320464037898509e-05 1.3399624195989533e-03
0017 8.5319091094317230e-05 1.2366639264478881e-03
0018 8.5317721889463418e-05 1.1389450082863600e-03
0019 8.5316356306597841e-05 1.0467148581326277e-03
0020 8.5314994237178850e-05 9.5986757300532710e-04
