# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 1.7834179146966310e-04 3.6879808704147138e-03
0002 1.7833783806876799e-04 3.5048564839623483e-03
0003 1.7833391464193107e-04 3.3133392161318496e-03
0004 1.7833000892483262e-04 3.1181745189259227e-03
0005 1.7832611400666777e-04 2.9231548420115740e-03
0006 1.7832222606712242e-04 2.7312611243082686e-03
0007 1.7831834304592227e-04 2.5447895953859515e-03
0008 1.7831446386501351e-04 2.3654638237071046e-03
0009 1.7831058797894816e-04 2.1945323595742596e-03
0010 1.7830671511813049e-04 2.0328528586419504e-03
0011 1.7830284514487918e-04 1.8809642059222241e-03
0012 1.7829897797658735e-04 1.7391474677268361e-03
0013 1.7829511354454491e-04 1.6074776088400319e-03
0014 1.7829125177577736e-04 1.4858663116343255e-03
0015 1.7828739258486434e-04 1.3740980868131916e-03
0016 1.7828353587325666e-04 1.2718593003623977e-03
0017 1.7827968153028147e-04 1.1787626551443217e-03
0018 1.7827582943597057e-04 1.0943667056383939e-03
0019 1.7827197946398041e-04 1.0181915741089324e-03
0020 1.7826813148448525e-04 9.4973184724854833e-04
0021 1.7826428536623344e-04 8.8846706726712502e-04
0022 1.7826044097917648e-04 8.3386996044395711e-04
0023 1.7825659819515886e-04 7.8541396265581281e-04
0024 1.7825275689001513e-04 7.4257931283158924e-04
0025 1.7824891694334359e-04 7.0485841041006568e-04
0026 1.7824507824026276e-04 6.7176105912703963e-04
0027 1.7824124067068595e-04 6.4281854428958093e-04
0028 1.7823740413062538e-04 6.1758766712295232e-04
0029 1.7823356852130940e-04 5.9565369770053984e-04
0030 1.7822973374966616e-04 5.7663273695530276e-04
0031 1.7822589972823948e-04 5.6017295045174861e-04
0032 1.7822206637485241e-04 5.4595510354144201e-04
0033 1.7821823361262803e-04 5.3369232483098936e-04
0034 1.7821440136944386e-04 5.2312873337858809e-04
0035 1.7821056957816059e-04 5.1403800169134008e-04
0036 1.7820673817602907e-04 5.0622114793360986e-04
0037 1.7820290710454900e-04 4.9950415758873027e-04
0038 1.7819907630944572e-04 4.9373557538303769e-04
0039 1.7819524573991870e-04 4.8878395805482277e-04
0040 1.7819141534903090e-04 4.8453573517763694e-04
0041 1.7818758509300441e-04 4.8089282145623893e-04
0042 1.7818375493143396e-04 4.7777062535015683e-04
0043 1.7817992482654460e-04 4.7509629190009664e-04
0044 1.7817609474344868e-04 4.7280704602013253e-04
0045 1.7817226464975867e-04 4.7084897611038344e-04
0046 1.7816843451583383e-04 4.6917548486146029e-04
0047 1.7816460431357249e-04 4.6774658972214959e-04
0048 1.7816077401741807e-04 4.6652779333347818e-04
0049 1.7815694360390387e-04 4.6548939440344477e-04
0050 1.7815311305086409e-04 4.6460579609942677e-04
0051 1.7814928233803517e-04 4.6385499440990314e-04
0052 1.7814545144675283e-04 4.6321793927158313e-04
0053 1.7814162035987861e-04 4.6267834523314405e-04
0054 1.7813778906108552e-04 4.6222205757100957e-04
0055 1.7813395753612783e-04 4.6183708103248220e-04
