# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 6.1055931625256504e-05 3.7896295128294535e-03
0002 6.1055627673762728e-05 3.6701136021509216e-03
0003 6.1055327202572603e-05 3.5507786421321648e-03
0004 6.1055029108368714e-05 3.4319809476721212e-03
0005 6.1054732546558449e-05 3.3140435576455868e-03
0006 6.1054436875791865e-05 3.1972571960582029e-03
0007 6.1054141615612373e-05 3.0818822323213178e-03
0008 6.1053846411411418e-05 2.9681499579596793e-03
0009 6.1053551007218286e-05 2.8562643403776539e-03
0010 6.1053255224070041e-05 2.7464037610421175e-03
0011 6.1052958942572116e-05 2.6387225994328098e-03
0012 6.1052662089565774e-05 2.5333529933804395e-03
0013 6.1052364626597779e-05 2.4304062736051494e-03
0014 6.1052066542273588e-05 2.3299748488800230e-03
0015 6.1051767844883551e-05 2.2321334330950050e-03
0016 6.1051468557327116e-05 2.1369405893130488e-03
0017 6.1051168712799382e-05 2.0444400695048769e-03
0018 6.1050868351383887e-05 1.9546621447614826e-03
0019 6.1050567518400770e-05 1.8676250877624145e-03
0020 6.1050266261143945e-05 1.7833357855232526e-03
0021 6.1049964628451868e-05 1.7017913742847911e-03
0022 6.1049662669224294e-05 1.6229799768054428e-03
0023 6.1049360431071224e-05 1.5468815934715960e-03
0024 6.1049057960953614e-05 1.4734693973074285e-03
0025 6.1048755303319213e-05 1.4027099538461969e-03
0026 6.1048452500576697e-05 1.3345644575181339e-03
0027 6.1048149593052290e-05 1.2689893769453875e-03
0028 6.1047846618327934e-05 1.2059369269778026e-03
0029 6.1047543611928286e-05 1.1453558578230253e-03
0030 6.1047240606394211e-05 1.0871916846099921e-03
0031 6.1046937631907607e-05 1.0313875428276690e-03
0032 6.1046634716633200e-05 9.7788465127483879e-04
