# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 1.4346868799051881e-04 3.2748536310058273e-03
0002 1.4347321101200922e-04 3.0927868498475601e-03
0003 1.4347784593148706e-04 2.8985130845087005e-03
0004 1.4348256972352555e-04 2.6981365647186927e-03
0005 1.4348736687573981e-04 2.4964072022262557e-03
0006 1.4349222652407779e-04 2.2969721907856221e-03
0007 1.4349714072939282e-04 2.1025848773861076e-03
0008 1.4350210342837071e-04 1.9152772559638876e-03
0009 1.4350710979573386e-04 1.7365021834857034e-03
0010 1.4351215585300145e-04 1.5672495391105105e-03
0011 1.4351723822084858e-04 1.4081424311755330e-03
0012 1.4352235396356499e-04 1.2595187095338152e-03
0013 1.4352750049113008e-04 1.1214959506586479e-03
0014 1.4353267548526633e-04 9.9402746749468617e-04
0015 1.4353787685642390e-04 8.7695046179104208e-04
0016 1.4354310270795989e-04 7.7002560686570518e-04
0017 1.4354835131181936e-04 6.7297346880408431e-04
0018 1.4355362108626416e-04 5.8550921097487083e-04
0019 1.4355891058009682e-04 5.0737565260867675e-04
0020 1.4356421846001711e-04 4.3837204970151208e-04
0021 1.4356954349964706e-04 3.7838487279649664e-04
0022 1.4357488456419199e-04 3.2740529358266432e-04
0023 1.4358024060858387e-04 2.8551653561690340e-04
0024 1.4358561066480076e-04 2.5281634096598803e-04
0025 1.4359099383723777e-04 2.2924865137796281e-04
0026 1.4359638929489334e-04 2.1436832877818877e-04
0027 1.4360179626605736e-04 2.0717428549223043e-04
0028 1.4360721403519413e-04 2.0617614748476228e-04
0029 1.4361264193503054e-04 2.0968617113175931e-04
0030 1.4361807934446891e-04 2.1614126951635036e-04
0031 1.4362352568517812e-04 2.2428859633386792e-04
0032 1.4362898041689982e-04 2.3322034952534751e-04
0033 1.4363444303616552e-04 2.4232355737642086e-04
0034 1.4363991307098464e-04 2.5120763134314067e-04
0035 1.4364539008087447e-04 2.5963767804406762e-04
0036 1.4365087365357716e-04 2.6748496558266912e-04
0037 1.4365636340146849e-04 2.7469024439678218e-04
0038 1.4366185896416442e-04 2.8123869530512647e-04
0039 1.4366736000022751e-04 2.8714468562819417e-04
0040 1.4367286619050871e-04 2.9243888400241875e-04
0041 1.4367837723637875e-04 2.9716195260496930e-04
0042 1.4368389285601547e-04 3.0135942489911449e-04
0043 1.4368941278398707e-04 3.0507758713967521e-04
0044 1.4369493677362765e-04 3.0836297512107819e-04
0045 1.4370046458863714e-04 3.1125939210678810e-04
0046 1.4370599601018689e-04 3.1380910486656304e-04
0047 1.4371153082977874e-04 3.1605033216348233e-04
0048 1.4371706885363156e-04 3.1801890912665535e-04
0049 1.4372260989644226e-04 3.1974601709641574e-04
0050 1.4372815378503828e-04 3.2126110461435661e-04
0051 1.4373370035757231e-04 3.2258962614119431e-04
0052 1.4373924945841035e-04 3.2375507871073488e-04
0053 1.4374480094295276e-04 3.2477761491365688e-04
0054 1.4375035467624649e-04 3.2567518484579312e-04
0055 1.4375591052718717e-04 3.2646412252728183e-04
0056 1.4376146837490639e-04 3.2715783076010997e-04
0057 1.4376702810536062e-04 3.2776876570999637e-04
0058 1.4377258960970602e-04 3.2830741075376684e-04
0059 1.4377815278663982e-04 3.2878357486251656e-04
0060 1.4378371754032810e-04 3.2920496044213987e-04
0061 1.4378928377905799e-04 3.2957876087349704e-04
0062 1.4379485141900066e-04 3.2991101240176408e-04
0063 1.4380042037811239e-04 3.3020650268284412e-04
0064 1.4380599058263604e-04 3.3047005866074870e-04
0065 1.4381156195890515e-04 3.3070608465062603e-04
0066 1.4381713444097189e-04 3.3091726277821620e-04
0067 1.4382270796453267e-04 3.3110707709127648e-04
0068 1.4382828246983111e-04 3.3127750076831087e-04
0069 1.4383385790152906e-04 3.3143100567826014e-04
0070 1.4383943420527841e-04 3.3156948094458357e-04
0071 1.4384501133258697e-04 3.3169448407395827e-04
0072 1.4385058923472799e-04 3.3180734482930990e-04
0073 1.4385616786945839e-04 3.3190942062414692e-04
0074 1.4386174719423358e-04 3.3200125792795060e-04
0075 1.4386732716962711e-04 3.3208431843343334e-04
0076 1.4387290775913302e-04 3.3215922706484799e-04
0077 1.4387848892888147e-04 3.3222655531233998e-04
0078 1.4388407064590305e-04 3.3228692571877431e-04
0079 1.4388965288017938e-04 3.3234082839818228e-04
0080 1.4389523560281255e-04 3.3238883619193701e-04
0081 1.4390081878739913e-04 3.3243154883801112e-04
0082 1.4390640240893711e-04 3.3246897188619949e-04
0083 1.4391198644420826e-04 3.3250174129046062e-04
0084 1.4391757087044659e-04 3.3253005632864188e-04
0085 1.4392315566840239e-04 3.3255417041035921e-04
0086 1.4392874081787827e-04 3.3257458983742703e-04
0087 1.4393432630217752e-04 3.3259123440246914e-04
0088 1.4393991210408545e-04 3.3260450711552575e-04
0089 1.4394549820773180e-04 3.3261456796109662e-04
0090 1.4395108459957148e-04 3.3262165551278133e-04
0091 1.4395667126576776e-04 3.3262613355734063e-04
0092 1.4396225819441520e-04 3.3262759815233582e-04
0093 1.4396784537313084e-04 3.3262632867717774e-04
0094 1.4397343279341345e-04 3.3262314270327036e-04
0095 1.4397902044307255e-04 3.3261768995870931e-04
0096 1.4398460831495488e-04 3.3260987440397635e-04
0097 1.4399019639994726e-04 3.3260033622016511e-04
0098 1.4399578469112111e-04 3.3258902735989619e-04
0099 1.4400137318161061e-04 3.3257589959111226e-04
0100 1.4400696139655773e-04 3.3236547734432086e-04
0101 1.4401255037372866e-04 3.3239819846117065e-04
0102 1.4401813949634917e-04 3.3242082130501504e-04
0103 1.4402372877120019e-04 3.3243508447804696e-04
0104 1.4402931820235558e-04 3.3244180881814955e-04
0105 1.4403490779327317e-04 3.3244161222418107e-04
0106 1.4404049754504752e-04 3.3243634028815451e-04
0107 1.4404608745669808e-04 3.3242589759992989e-04
0108 1.4405167753042195e-04 3.3241151537428504e-04
0109 1.4405726776063651e-04 3.3239399829616107e-04
0110 1.4406285815052796e-04 3.3237372351813626e-04
0111 1.4406844869910258e-04 3.3235094682962721e-04
0112 1.4407403940616304e-04 3.3232640429121555e-04
0113 1.4407963027044871e-04 3.3230026756614491e-04
0114 1.4408522129150689e-04 3.3227250260592904e-04
0115 1.4409081247085203e-04 3.3224410623555463e-04
0116 1.4409640380762064e-04 3.3221476475750223e-04
0117 1.4410199530351950e-04 3.3218448095262659e-04
0118 1.4410758695805915e-04 3.3215338451277092e-04
0119 1.4411317877371233e-04 3.3212252008929283e-04
0120 1.4411877075100359e-04 3.3209143944380211e-04
0121 1.4412436289107280e-04 3.3205938645496812e-04
0122 1.4412995519670304e-04 3.3202784334481541e-04
0123 1.4413554766806253e-04 3.3199627948505639e-04
0124 1.4414114030896215e-04 3.3196461455675284e-04
0125 1.4414673312091144e-04 3.3193314971171288e-04
0126 1.4415232610607534e-04 3.3190166332968220e-04
0127 1.4415791926661117e-04 3.3186993313412763e-04
0128 1.4416351260565638e-04 3.3183905788227667e-04
0129 1.4416910612547696e-04 3.3180808544822218e-04
0130 1.4417469982925022e-04 3.3177719394016417e-04
0131 1.4418029372017735e-04 3.3174654510853742e-04
0132 1.4418588780034151e-04 3.3171595252674114e-04
0133 1.4419148207360085e-04 3.3168577313802969e-04
0134 1.4419707654206442e-04 3.3165574703874356e-04
0135 1.4420267121090049e-04 3.3162629268490036e-04
0136 1.4420826608240009e-04 3.3159679286008632e-04
0137 1.4421386116023551e-04 3.3156823698795505e-04
0138 1.4421945644705643e-04 3.3153936706798023e-04
0139 1.4422505194739836e-04 3.3151099826860718e-04
0140 1.4423064766459502e-04 3.3148319820504698e-04
0141 1.4423624360227551e-04 3.3145583771115655e-04
0142 1.4424183976442052e-04 3.3142868220899544e-04
0143 1.4424743615486390e-04 3.3140215618569064e-04
0144 1.4425303277597261e-04 3.3137569638573089e-04
0145 1.4425862963304614e-04 3.3134934793896658e-04
0146 1.4426422672983845e-04 3.3132375272131211e-04
0147 1.4426982406952706e-04 3.3129822738268218e-04
0148 1.4427542165704074e-04 3.3127293166190899e-04
0149 1.4428101949747824e-04 3.3124879292536900e-04
0150 1.4428661758683365e-04 3.3122465127666050e-04
0151 1.4429221593936878e-04 3.3120068791099523e-04
0152 1.4429781455496188e-04 3.3117760102580811e-04
0153 1.4430341343886119e-04 3.3115486879501912e-04
0154 1.4430901258938975e-04 3.3113231864089962e-04
0155 1.4431461201789170e-04 3.3111085125789557e-04
0156 1.4432021172421097e-04 3.3108906886294975e-04
0157 1.4432581171330613e-04 3.3106777167699362e-04
0158 1.4433141198968302e-04 3.3104674289067193e-04
0159 1.4433701255753848e-04 3.3102648090148481e-04
0160 1.4434261342027805e-04 3.3100717361603759e-04
0161 1.4434821457936180e-04 3.3098763152667349e-04
0162 1.4435381604322662e-04 3.3096843904773546e-04
0163 1.4435941781283245e-04 3.3095005274122317e-04
0164 1.4436501989315267e-04 3.3093185528081608e-04
0165 1.4437062228824459e-04 3.3091446586143978e-04
0166 1.4437622500171896e-04 3.3089784434913664e-04
0167 1.4438182803718034e-04 3.3088099877036131e-04
0168 1.4438743139846504e-04 3.3086489288793606e-04
0169 1.4439303509046828e-04 3.3084907092454470e-04
0170 1.4439863911506025e-04 3.3083367909049477e-04
0171 1.4440424347844384e-04 3.3081917326141383e-04
0172 1.4440984818182728e-04 3.3080499708210446e-04
0173 1.4441545323010696e-04 3.3079122034795205e-04
