# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 9.2036673178460862e-05 3.0152538411147151e-03
0002 9.2035826393717314e-05 2.8559112809224750e-03
0003 9.2034989333115316e-05 2.7015564859790130e-03
0004 9.2034159992649534e-05 2.5520486853054564e-03
0005 9.2033336954888936e-05 2.4073412215663294e-03
0006 9.2032519216037842e-05 2.2674448671369820e-03
0007 9.2031706063646447e-05 2.1324012733439511e-03
0008 9.2030896989886391e-05 2.0022638725604542e-03
0009 9.2030091630264897e-05 1.8770848708052719e-03
0010 9.2029289720408061e-05 1.7569064956588366e-03
0011 9.2028491065341907e-05 1.6417555945764386e-03
0012 9.2027695518127255e-05 1.5316405803528941e-03
0013 9.2026902964694189e-05 1.4265503112387409e-03
0014 9.2026113313375504e-05 1.3264541119630564e-03
0015 9.2025326487630416e-05 1.2313028574058615e-03
0016 9.2024542420851248e-05 1.1410302661404039e-03
0017 9.2023761053014103e-05 1.0555552381562880e-03
0018 9.2022982328425343e-05 9.7478386159183868e-04
