# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 9.8906157657074764e-05 2.4786532281492876e-03
0002 9.8905406943536082e-05 2.3435653649384693e-03
0003 9.8904662471385705e-05 2.2139696982687710e-03
0004 9.8903922658444233e-05 2.0894421674607843e-03
0005 9.8903186411208408e-05 1.9696991712740051e-03
0006 9.8902452978879161e-05 1.8545546599880182e-03
0007 9.8901721850229297e-05 1.7438879997485458e-03
0008 9.8900992680862768e-05 1.6376204002236945e-03
0009 9.8900265241842059e-05 1.5356974876767466e-03
0010 9.8899539383521683e-05 1.4380770837717632e-03
0011 9.8898815010187404e-05 1.3447206812863461e-03
0012 9.8898092062287915e-05 1.2555875395655024e-03
0013 9.8897370503899681e-05 1.1706311156155771e-03
0014 9.8896650314377039e-05 1.0897972501756380e-03
0015 9.8895931482251908e-05 1.0130227825974416e-03
0016 9.8895214001373704e-05 9.4023596920197528e-04
