# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 1.2696750654515794e-04 4.3749973656780445e-03
0002 1.2696418696981691e-04 4.1312996460121923e-03
0003 1.2696093276123930e-04 3.8724993137042572e-03
0004 1.2695772363547307e-04 3.6067377196466457e-03
0005 1.2695454749046510e-04 3.3402300164064209e-03
0006 1.2695139708063542e-04 3.0776632776841825e-03
0007 1.2694826802723820e-04 2.8225121402858321e-03
0008 1.2694515763139017e-04 2.5772908497927868e-03
0009 1.2694206416841638e-04 2.3437545102868843e-03
0010 1.2693898647485457e-04 2.1230608865683495e-03
0011 1.2693592370290158e-04 1.9159004953812817e-03
0012 1.2693287518214768e-04 1.7226017526085313e-03
0013 1.2692984033905335e-04 1.5432168274383999e-03
0014 1.2692681865453595e-04 1.3775910782268192e-03
0015 1.2692380963942205e-04 1.2254205058888810e-03
0016 1.2692081282453401e-04 1.0862990968232495e-03
0017 1.2691782775465631e-04 9.5975888312033577e-04
0018 1.2691485398719641e-04 8.4530354806037556e-04
0019 1.2691189109297017e-04 7.4243782115348438e-04
0020 1.2690893865569840e-04 6.5069291718287546e-04
0021 1.2690599627395132e-04 5.6964761347962003e-04
0022 1.2690306356154854e-04 4.9894297150568541e-04
0023 1.2690014014826240e-04 4.3828556512822726e-04
0024 1.2689722567989835e-04 3.8743071077941386e-04
0025 1.2689431981896464e-04 3.4613319865950507e-04
0026 1.2689142224420319e-04 3.1405977695239386e-04
0027 1.2688853265039875e-04 2.9067583852476607e-04
0028 1.2688565074814577e-04 2.7515313871954457e-04
0029 1.2688277626297218e-04 2.6636180959180110e-04
0030 1.2687990893530087e-04 2.6297351412001729e-04
0031 1.2687704851971216e-04 2.6363158316672011e-04
0032 1.2687419478332073e-04 2.6710751900078992e-04
0033 1.2687134750748939e-04 2.7239070635318283e-04
0034 1.2686850648403451e-04 2.7870883815791500e-04
0035 1.2686567151744626e-04 2.8550430288309849e-04
0036 1.2686284242195958e-04 2.9239306106284261e-04
0037 1.2686001902258265e-04 2.9912230898777452e-04
0038 1.2685720115361500e-04 3.0553445182580349e-04
0039 1.2685438865865523e-04 3.1153890714461175e-04
0040 1.2685158138878998e-04 3.1709120836840942e-04
0041 1.2684877920425905e-04 3.2217803655674602e-04
0042 1.2684598197173743e-04 3.2680627124888291e-04
0043 1.2684318956541487e-04 3.3099561253847892e-04
0044 1.2684040186565192e-04 3.3477338679863003e-04
0045 1.2683761875906369e-04 3.3817087684498599e-04
0046 1.2683484013778916e-04 3.4122102656824869e-04
0047 1.2683206589950952e-04 3.4395661450741574e-04
0048 1.2682929594685764e-04 3.4640939096563286e-04
0049 1.2682653018740995e-04 3.4860932229269773e-04
0050 1.2682376853252370e-04 3.5058425418656522e-04
0051 1.2682101089811252e-04 3.5235971010462810e-04
0052 1.2681825720443627e-04 3.5395897740955539e-04
0053 1.2681550737401418e-04 3.5540294189141263e-04
0054 1.2681276133431037e-04 3.5671034490912285e-04
0055 1.2681001901512689e-04 3.5789792242941652e-04
0056 1.2680728034933242e-04 3.5898046342375787e-04
0057 1.2680454527268117e-04 3.5997099494478036e-04
0058 1.2680181372397306e-04 3.6088102033339151e-04
0059 1.2679908564383480e-04 3.6172062947769339e-04
0060 1.2679636097571266e-04 3.6249859079484739e-04
0061 1.2679363966496573e-04 3.6322255898344879e-04
0062 1.2679092165955596e-04 3.6389925144456449e-04
0063 1.2678820690860512e-04 3.6453445797447113e-04
0064 1.2678549536392970e-04 3.6513321105134363e-04
0065 1.2678278697848057e-04 3.6569991061413193e-04
0066 1.2678008170710064e-04 3.6623823897881722e-04
0067 1.2677737950600842e-04 3.6675151991782549e-04
0068 1.2677468033345921e-04 3.6724249154152568e-04
0069 1.2677198414828383e-04 3.6771370205766432e-04
0070 1.2676929091133633e-04 3.6816718147951764e-04
0071 1.2676660058451756e-04 3.6860474031007829e-04
0072 1.2676391313062816e-04 3.6902794726683741e-04
0073 1.2676122851390959e-04 3.6943817874601520e-04
0074 1.2675854669961666e-04 3.6983658804612494e-04
0075 1.2675586765388184e-04 3.7022425543496257e-04
0076 1.2675319134397767e-04 3.7060202066605945e-04
0077 1.2675051773829878e-04 3.7097072265163963e-04
0078 1.2674784680528065e-04 3.7133102064788209e-04
0079 1.2674517851545550e-04 3.7168352686974123e-04
0080 1.2674251283903849e-04 3.7202878567747701e-04
0081 1.2673984974779522e-04 3.7236728123705688e-04
0082 1.2673718921371916e-04 3.7269945183014290e-04
0083 1.2673453120960005e-04 3.7302569415474738e-04
0084 1.2673187570924136e-04 3.7334633470795622e-04
0085 1.2672922268665935e-04 3.7366172313203961e-04
0086 1.2672657211698402e-04 3.7397218368772782e-04
0087 1.2672392397535822e-04 3.7427791785754800e-04
0088 1.2672127823780210e-04 3.7457922830355677e-04
0089 1.2671863488104897e-04 3.7487637154979170e-04
0090 1.2671599388201462e-04 3.7516954088403050e-04
0091 1.2671335521861503e-04 3.7545894523711911e-04
0092 1.2671071886873869e-04 3.7574478039243016e-04
0093 1.2670808481111053e-04 3.7602725207629172e-04
0094 1.2670545302464066e-04 3.7630654338556210e-04
0095 1.2670282348913357e-04 3.7658274970876217e-04
0096 1.2670019618433136e-04 3.7685614303539734e-04
0097 1.2669757109091040e-04 3.7712681105055211e-04
0098 1.2669494818935901e-04 3.7739486609356056e-04
0099 1.2669232746107055e-04 3.7766051215873392e-04
0100 1.2668970888781242e-04 3.7792384873048857e-04
0101 1.2668709245147855e-04 3.7818498944975433e-04
0102 1.2668447813442475e-04 3.7844407599903229e-04
0103 1.2668186591904390e-04 3.7870126360984414e-04
0104 1.2667925578915360e-04 3.7895663146759800e-04
0105 1.2667664772778416e-04 3.7921030238307680e-04
0106 1.2667404171884690e-04 3.7946228287619453e-04
0107 1.2667143774654289e-04 3.7971278772596842e-04
0108 1.2666883579515832e-04 3.7996185157812318e-04
0109 1.2666623584972955e-04 3.8020961198353980e-04
0110 1.2666363789476772e-04 3.8045608660163292e-04
0111 1.2666104191633062e-04 3.8070141601626229e-04
0112 1.2665844789993633e-04 3.8094563441766103e-04
0113 1.2665585583159753e-04 3.8118882177534848e-04
0114 1.2665326569731282e-04 3.8143107705568318e-04
0115 1.2665067748404181e-04 3.8167247643620988e-04
0116 1.2664809117848982e-04 3.8191306827471108e-04
0117 1.2664550676763986e-04 3.8215288237362102e-04
0118 1.2664292423919050e-04 3.8239201910844682e-04
0119 1.2664034358071281e-04 3.8263054320396918e-04
0120 1.2663776477997118e-04 3.8286847127956097e-04
0121 1.2663518782544007e-04 3.8310587285000274e-04
0122 1.2663261270525877e-04 3.8334283229287969e-04
0123 1.2663003940828756e-04 3.8357933694258792e-04
0124 1.2662746792354014e-04 3.8381551070538306e-04
0125 1.2662489824006294e-04 3.8405132651919520e-04
0126 1.2662233034720262e-04 3.8428687121013443e-04
0127 1.2661976423465518e-04 3.8452214419500678e-04
0128 1.2661719989234967e-04 3.8475723137678470e-04
0129 1.2661463731035598e-04 3.8499218241039047e-04
0130 1.2661207647897196e-04 3.8522694262242360e-04
0131 1.2660951738897706e-04 3.8546163641636088e-04
0132 1.2660696003084771e-04 3.8569626873799100e-04
0133 1.2660440439503089e-04 3.8593085007648478e-04
0134 1.2660185047356866e-04 3.8616545789976140e-04
0135 1.2659929825750506e-04 3.8640010420339544e-04
0136 1.2659674773827389e-04 3.8663478031207912e-04
0137 1.2659419890779364e-04 3.8686955956857575e-04
0138 1.2659165175783591e-04 3.8710441748861447e-04
0139 1.2658910628041801e-04 3.8733942481491567e-04
