# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 6.8480772012564453e-05 3.7937739032039321e-03
0002 6.8481026472570525e-05 3.6248360415036796e-03
0003 6.8481302881910278e-05 3.4568488727055998e-03
0004 6.8481598357351850e-05 3.2907249231209691e-03
0005 6.8481910772224413e-05 3.1272586436591481e-03
0006 6.8482238534633871e-05 2.9671312094728857e-03
0007 6.8482580430999731e-05 2.8109168674030696e-03
0008 6.8482935514986806e-05 2.6590893788939426e-03
0009 6.8483303029411298e-05 2.5120319990493511e-03
0010 6.8483682351645837e-05 2.3700444045944807e-03
0011 6.8484072954087640e-05 2.2333520641635205e-03
0012 6.8484474377941256e-05 2.1021138433474744e-03
0013 6.8484886213402674e-05 1.9764296279938661e-03
0014 6.8485308087023333e-05 1.8563479802442616e-03
0015 6.8485739652104463e-05 1.7418731489998065e-03
0016 6.8486180582957043e-05 1.6329700970479108e-03
0017 6.8486630570006036e-05 1.5295716220453525e-03
0018 6.8487089316963097e-05 1.4315825456078181e-03
0019 6.8487556538826536e-05 1.3388848293146806e-03
0020 6.8488031960729540e-05 1.2513413672776423e-03
0021 6.8488515316798197e-05 1.1688002544281626e-03
0022 6.8489006349578267e-05 1.0910977821746650e-03
0023 6.8489504809604018e-05 1.0180608325823077e-03
0024 6.8490010455160571e-05 9.4951047868509426e-04
