# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 5.3890685319921533e-05 4.2677962292244735e-03
0002 5.3890475576741671e-05 4.1300373710171680e-03
0003 5.3890270362056291e-05 3.9929995920191140e-03
0004 5.3890068503738300e-05 3.8570143247188141e-03
0005 5.3889869095204093e-05 3.7223841989520272e-03
0006 5.3889671440330932e-05 3.5893839377218110e-03
0007 5.3889475006678290e-05 3.4582607654341795e-03
0008 5.3889279392043184e-05 3.3292354612314569e-03
0009 5.3889084295435919e-05 3.2025035309144146e-03
0010 5.3888889494198651e-05 3.0782352599587875e-03
0011 5.3888694827751294e-05 2.9565786268113859e-03
0012 5.3888500182715663e-05 2.8376596399236355e-03
0013 5.3888305483244383e-05 2.7215842271488687e-03
0014 5.3888110679744900e-05 2.6084384019363568e-03
0015 5.3887915745791819e-05 2.4982920057641301e-03
0016 5.3887720670034636e-05 2.3911978881708622e-03
0017 5.3887525452432542e-05 2.2871936724390275e-03
0018 5.3887330102910590e-05 2.1863041828632328e-03
0019 5.3887134635835047e-05 2.0885406086983936e-03
0020 5.3886939070958261e-05 1.9939039696907864e-03
0021 5.3886743430291156e-05 1.9023842766449019e-03
0022 5.3886547736293285e-05 1.8139620066939064e-03
0023 5.3886352013610100e-05 1.7286108148188790e-03
0024 5.3886156286399219e-05 1.6462957938166798e-03
0025 5.3885960577561710e-05 1.5669757160792976e-03
0026 5.3885764909906719e-05 1.4906039642298707e-03
0027 5.3885569305016855e-05 1.4171289158012930e-03
0028 5.3885373783529929e-05 1.3464945440529220e-03
0029 5.3885178364054758e-05 1.2786409395853318e-03
0030 5.3884983064753782e-05 1.2135057255261074e-03
0031 5.3884787901817968e-05 1.1510236566639007e-03
0032 5.3884592890699150e-05 1.0911274290228198e-03
0033 5.3884398045010318e-05 1.0337479530511168e-03
0034 5.3884203377558895e-05 9.7881501610202690e-04
