# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 2.5781788970132994e-04 5.4515392673233926e-03
0002 2.5780729849721456e-04 5.1721222641679934e-03
0003 2.5779693022092700e-04 4.8736281500024970e-03
0004 2.5778669681323176e-04 4.5650677093763093e-03
0005 2.5777654571100528e-04 4.2535777898056598e-03
0006 2.5776644596379545e-04 3.9447342662794751e-03
0007 2.5775637972356665e-04 3.6428187565767200e-03
0008 2.5774633702334239e-04 3.3510450312114544e-03
0009 2.5773631257394150e-04 3.0717510766263270e-03
0010 2.5772630380645434e-04 2.8065601140451809e-03
0011 2.5771630967962717e-04 2.5565172431393076e-03
0012 2.5770632996250021e-04 2.3222031945371816e-03
0013 2.5769636480875208e-04 2.1038298469993515e-03
0014 2.5768641451067267e-04 1.9013201460820314e-03
0015 2.5767647936391220e-04 1.7143739342187702e-03
0016 2.5766655959809153e-04 1.5425232784001136e-03
0017 2.5765665534700896e-04 1.3851775042388376e-03
0018 2.5764676664244277e-04 1.2416603866513447e-03
0019 2.5763689341904632e-04 1.1112406106799054e-03
0020 2.5762703552675034e-04 9.9315619550099541e-04
0021 2.5761719274505773e-04 8.8663406553483154e-04
0022 2.5760736479691308e-04 7.9090574839077151e-04
0023 2.5759755136322741e-04 7.0521888359491042e-04
0024 2.5758775209419209e-04 6.2884627415359540e-04
0025 2.5757796662006957e-04 5.6109159316257852e-04
0026 2.5756819455979461e-04 5.0129280342531063e-04
0027 2.5755843552715521e-04 4.4882317619524616e-04
0028 2.5754868913777123e-04 4.0308926847458049e-04
0029 2.5753895501180886e-04 3.6352815845393748e-04
0030 2.5752923277838396e-04 3.2960134451851637e-04
0031 2.5751952207718704e-04 3.0078902853789761e-04
0032 2.5750982256024534e-04 2.7658410790579754e-04
0033 2.5750013389329312e-04 2.5648801000166185e-04
0034 2.5749045575584976e-04 2.4001016084683954e-04
0035 2.5748078784209731e-04 2.2667128201067736e-04
0036 2.5747112985980179e-04 2.1601065645612436e-04
0037 2.5746148153138059e-04 2.0759513212257837e-04
0038 2.5745184259278771e-04 2.0102875383663099e-04
