# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 5.5401871085036880e-05 4.0923348448014757e-03
0002 5.5401665982952888e-05 3.9609891123789064e-03
0003 5.5401465339935408e-05 3.8302316376462083e-03
0004 5.5401267975707332e-05 3.7003913334889616e-03
0005 5.5401072978370058e-05 3.5717688100103139e-03
0006 5.5400879647835507e-05 3.4446368712100408e-03
0007 5.5400687449942137e-05 3.3192406495650205e-03
0008 5.5400495981597472e-05 3.1957992887788637e-03
0009 5.5400304941782625e-05 3.0745064382352435e-03
0010 5.5400114109562827e-05 2.9555318196631212e-03
0011 5.5399923325950287e-05 2.8390222366797423e-03
0012 5.5399732480250651e-05 2.7251032730060882e-03
0013 5.5399541499051547e-05 2.6138806505976988e-03
0014 5.5399350337073123e-05 2.5054410585646138e-03
0015 5.5399158970331008e-05 2.3998541187299168e-03
0016 5.5398967391402980e-05 2.2971738016043797e-03
0017 5.5398775604716107e-05 2.1974393301778181e-03
0018 5.5398583622764530e-05 2.1006759942268942e-03
0019 5.5398391464776299e-05 2.0068976898920863e-03
0020 5.5398199153496998e-05 1.9161064988123633e-03
0021 5.5398006714473636e-05 1.8282949071451546e-03
0022 5.5397814174473336e-05 1.7434461898207659e-03
0023 5.5397621560911645e-05 1.6615357113290497e-03
0024 5.5397428900946895e-05 1.5825314546762934e-03
0025 5.5397236221011296e-05 1.5063951415335696e-03
0026 5.5397043546843274e-05 1.4330829322849873e-03
0027 5.5396850902647445e-05 1.3625461299631865e-03
0028 5.5396658311582103e-05 1.2947317181664960e-03
0029 5.5396465795067518e-05 1.2295831796652397e-03
0030 5.5396273373180744e-05 1.1670409216266806e-03
0031 5.5396081064652979e-05 1.1070429775178862e-03
0032 5.5395888886423987e-05 1.0495250453815145e-03
0033 5.5395696854331279e-05 9.9442148961829545e-04
