# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 6.4354494809734243e-05 3.8016579378668176e-03
0002 6.4354121630537430e-05 3.6844604179763559e-03
0003 6.4353752111132311e-05 3.5670251719173533e-03
0004 6.4353385161769475e-05 3.4497628254940493e-03
0005 6.4353019943369559e-05 3.3330437186983386e-03
0006 6.4352655815381733e-05 3.2172003544414401e-03
0007 6.4352292293595208e-05 3.1025293706451631e-03
0008 6.4351929017182825e-05 2.9892940922935391e-03
0009 6.4351565722041513e-05 2.8777265077956238e-03
0010 6.4351202219815364e-05 2.7680296084096976e-03
0011 6.4350838381133403e-05 2.6603794363835483e-03
0012 6.4350474122354826e-05 2.5549271410948700e-03
0013 6.4350109394860228e-05 2.4518008335318669e-03
0014 6.4349744176952256e-05 2.3511076054594468e-03
0015 6.4349378466903802e-05 2.2529350343324377e-03
0016 6.4349012278086361e-05 2.1573531684843457e-03
0017 6.4348645634631493e-05 2.0644158005820052e-03
0018 6.4348278568247762e-05 1.9741620368892770e-03
0019 6.4347911115813003e-05 1.8866177510379282e-03
0020 6.4347543317275351e-05 1.8017967305698906e-03
0021 6.4347175214331839e-05 1.7197020164721635e-03
0022 6.4346806849074881e-05 1.6403268991028379e-03
0023 6.4346438263379144e-05 1.5636560564096164e-03
0024 6.4346069498034603e-05 1.4896664549827446e-03
0025 6.4345700592477974e-05 1.4183282788173240e-03
0026 6.4345331584266143e-05 1.3496056794736614e-03
0027 6.4344962509148764e-05 1.2834576631543736e-03
0028 6.4344593400596028e-05 1.2198386038486386e-03
0029 6.4344224290052357e-05 1.1586991019887449e-03
0030 6.4343855206706020e-05 1.0999863505410789e-03
0031 6.4343486177556944e-05 1.0436448322896945e-03
0032 6.4343117227619163e-05 9.8961679015164184e-04
