# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 1.5329572054534866e-04 1.8606032889500886e-03
0002 1.5329113249146884e-04 1.7835329163182264e-03
0003 1.5328656097667091e-04 1.7054949569144668e-03
0004 1.5328200355378490e-04 1.6271390285380143e-03
0005 1.5327745827397135e-04 1.5490329597738085e-03
0006 1.5327292356057056e-04 1.4716680318810668e-03
0007 1.5326839811700003e-04 1.3954644956028267e-03
0008 1.5326388086825830e-04 1.3207770905747859e-03
0009 1.5325937090403496e-04 1.2479012394687704e-03
0010 1.5325486745557880e-04 1.1770782940431004e-03
0011 1.5325036985567233e-04 1.1085017929787192e-03
0012 1.5324587753031199e-04 1.0423220827385652e-03
0013 1.5324138997376333e-04 9.7865179610049507e-04
0014 1.5323690674789610e-04 9.1757000644903536e-04
0015 1.5323242746009569e-04 8.5912714999785203e-04
0016 1.5322795176326778e-04 8.0334829355932101e-04
0017 1.5322347935020443e-04 7.5023679849897825e-04
0018 1.5321900994995171e-04 6.9977767139147720e-04
0019 1.5321454331275716e-04 6.5194074250596507e-04
0020 1.5321007922509350e-04 6.0668241819996076e-04
0021 1.5320561748928828e-04 5.6394901095947866e-04
0022 1.5320115793121322e-04 5.2367807739601752e-04
0023 1.5319670039682829e-04 4.8580053325183488e-04
0024 1.5319224475026996e-04 4.5024241456047682e-04
0025 1.5318779086328667e-04 4.1692647126115659e-04
0026 1.5318333862632155e-04 3.8577268343116441e-04
0027 1.5317888794644583e-04 3.5669986214347047e-04
0028 1.5317443873326568e-04 3.2962701926533264e-04
0029 1.5316999091074290e-04 3.0447335181604411e-04
0030 1.5316554440949974e-04 2.8115933709471597e-04
0031 1.5316109917891030e-04 2.5960703520968366e-04
0032 1.5315665515529771e-04 2.3974149895552348e-04
0033 1.5315221229753086e-04 2.2148909565557011e-04
0034 1.5314777056613858e-04 2.0477910560984429e-04
0035 1.5314332992763627e-04 1.8954321883576418e-04
0036 1.5313889034941400e-04 1.7571532362256140e-04
0037 1.5313445180369531e-04 1.6323068714106334e-04
0038 1.5313001427176660e-04 1.5202535688215490e-04
0039 1.5312557773467073e-04 1.4203575576920413e-04
0040 1.5312114217123950e-04 1.3319743190306165e-04
0041 1.5311670757080407e-04 1.2544376434662360e-04
0042 1.5311227391965449e-04 1.1870575803464952e-04
0043 1.5310784121224511e-04 1.1291117491320468e-04
0044 1.5310340943678255e-04 1.0798486309269878e-04
0045 1.5309897858415010e-04 1.0384873662719685e-04
0046 1.5309454865303018e-04 1.0042292769982902e-04
0047 1.5309011963929049e-04 9.7627518574758227e-05
0048 1.5308569153361899e-04 9.5383981928757154e-05
0049 1.5308126433928734e-04 9.3616702125196762e-05
0050 1.5307683804979187e-04 9.2254870400702849e-05
0051 1.5307241266385250e-04 9.1233325313513539e-05
0052 1.5306798817997668e-04 9.0493453379384222e-05
0053 1.5306356459716922e-04 8.9983504371888488e-05
0054 1.5305914191583383e-04 8.9658562667285975e-05
0055 1.5305472013146576e-04 8.9480236010958719e-05
0056 1.5305029924377110e-04 8.9416155173506354e-05
0057 1.5304587925673782e-04 8.9439398525805654e-05
0058 1.5304146016240102e-04 8.9527792709466264e-05
0059 1.5303704196631079e-04 8.9663346122698833e-05
0060 1.5303262466377610e-04 8.9831535619451191e-05
0061 1.5302820825639020e-04 9.0020842245033369e-05
0062 1.5302379273971595e-04 9.0222178594361106e-05
0063 1.5301937811693461e-04 9.0428556408011742e-05
0064 1.5301496438375892e-04 9.0634573183719577e-05
0065 1.5301055153813092e-04 9.0836239423948138e-05
0066 1.5300613958059837e-04 9.1030673795219124e-05
0067 1.5300172851078845e-04 9.1215822999256134e-05
0068 1.5299731832375921e-04 9.1390288073216273e-05
0069 1.5299290902113971e-04 9.1553288756507416e-05
0070 1.5298850059695452e-04 9.1704373206967610e-05
0071 1.5298409305210961e-04 9.1843520008725880e-05
0072 1.5297968638256754e-04 9.1970862802754944e-05
0073 1.5297528058799876e-04 9.2086766468109561e-05
0074 1.5297087566539961e-04 9.2191664627354304e-05
0075 1.5296647161175094e-04 9.2286091555327288e-05
0076 1.5296206842242780e-04 9.2370650104847435e-05
0077 1.5295766610048234e-04 9.2446038138014369e-05
0078 1.5295326463832861e-04 9.2512782748940180e-05
0079 1.5294886403336279e-04 9.2571559588650596e-05
0080 1.5294446428524991e-04 9.2623022577564747e-05
0081 1.5294006538873277e-04 9.2667726286878104e-05
0082 1.5293566734227645e-04 9.2706267283060054e-05
0083 1.5293127014239102e-04 9.2739168276979598e-05
0084 1.5292687378671879e-04 9.2766931771371525e-05
0085 1.5292247827018712e-04 9.2790004233669050e-05
0086 1.5291808359236764e-04 9.2808864299091386e-05
0087 1.5291368974686365e-04 9.2823869405707300e-05
0088 1.5290929673452162e-04 9.2835450313424273e-05
0089 1.5290490454895761e-04 9.2843877298459876e-05
0090 1.5290051318868152e-04 9.2849497353288129e-05
0091 1.5289612265020084e-04 9.2852573953836591e-05
0092 1.5289173292917945e-04 9.2853357261908561e-05
0093 1.5288734402380815e-04 9.2852112688274969e-05
0094 1.5288295593231648e-04 9.2849041967999122e-05
0095 1.5287856864742774e-04 9.2844274559369415e-05
0096 1.5287418217008652e-04 9.2838066029284831e-05
0097 1.5286979649677926e-04 9.2830517236101989e-05
0098 1.5286541162130946e-04 9.2821725783217784e-05
0099 1.5286102754278247e-04 9.2811882705886794e-05
0100 1.5285664425733478e-04 9.2801094164653812e-05
0101 1.5285226176664379e-04 9.2789484482611848e-05
0102 1.5284788006053840e-04 9.2777007400150625e-05
0103 1.5284349913833480e-04 9.2763852022245826e-05
0104 1.5283911900228672e-04 9.2750124926840673e-05
0105 1.5283473964111538e-04 9.2735748277064631e-05
0106 1.5283036105922444e-04 9.2720924763280079e-05
0107 1.5282598324883038e-04 9.2705603386658144e-05
0108 1.5282160621099561e-04 9.2689900908253346e-05
0109 1.5281722994018299e-04 9.2673795107364834e-05
0110 1.5281285443543137e-04 9.2657357918098172e-05
0111 1.5280847969169995e-04 9.2640598751343462e-05
0112 1.5280410570999898e-04 9.2623600920143246e-05
0113 1.5279973248442019e-04 9.2606326459017914e-05
0114 1.5279536001510576e-04 9.2588844401431144e-05
0115 1.5279098829684985e-04 9.2571132422973119e-05
0116 1.5278661733021629e-04 9.2553255552052237e-05
0117 1.5278224711070366e-04 9.2535172706933276e-05
0118 1.5277787763531362e-04 9.2516913378714181e-05
0119 1.5277350890300509e-04 9.2498526719171081e-05
0120 1.5276914091017223e-04 9.2480010953504673e-05
0121 1.5276477365901592e-04 9.2461409774161063e-05
0122 1.5276040713943726e-04 9.2442614384807495e-05
0123 1.5275604135484973e-04 9.2423774089498074e-05
0124 1.5275167630230242e-04 9.2404852432712679e-05
0125 1.5274731197851519e-04 9.2385834674794292e-05
0126 1.5274294838111681e-04 9.2366743771585055e-05
0127 1.5273858550971900e-04 9.2347609123553790e-05
0128 1.5273422335923594e-04 9.2328403986277713e-05
0129 1.5272986193154780e-04 9.2309200260181064e-05
0130 1.5272550122345866e-04 9.2289940046660912e-05
0131 1.5272114123107225e-04 9.2270600940387996e-05
0132 1.5271678195341809e-04 9.2251224961043061e-05
0133 1.5271242338965382e-04 9.2231823483851237e-05
0134 1.5270806553450622e-04 9.2212369753453283e-05
0135 1.5270370838972911e-04 9.2192947248676024e-05
0136 1.5269935195234209e-04 9.2173521384944225e-05
0137 1.5269499622155310e-04 9.2154093780994511e-05
0138 1.5269064119268183e-04 9.2134631686782888e-05
0139 1.5268628686800328e-04 9.2115198214203861e-05
0140 1.5268193324203356e-04 9.2095722775312357e-05
0141 1.5267758031431769e-04 9.2076256575659364e-05
0142 1.5267322808248230e-04 9.2056810748173282e-05
0143 1.5266887654654638e-04 9.2037416422202317e-05
0144 1.5266452570450505e-04 9.2018052961670191e-05
0145 1.5266017555481406e-04 9.1998707087250143e-05
0146 1.5265582609534303e-04 9.1979364768140519e-05
0147 1.5265147732347283e-04 9.1960030150045757e-05
0148 1.5264712923765761e-04 9.1940739908415940e-05
0149 1.5264278183963132e-04 9.1921528376185039e-05
0150 1.5263843512487618e-04 9.1902325254182693e-05
0151 1.5263408909229831e-04 9.1883157121165174e-05
0152 1.5262974374183363e-04 9.1864037494987692e-05
0153 1.5262539906903737e-04 9.1844933489472255e-05
0154 1.5262105507661382e-04 9.1825907023056024e-05
0155 1.5261671175898671e-04 9.1806889157718111e-05
0156 1.5261236911729716e-04 9.1787943461139041e-05
0157 1.5260802714928969e-04 9.1769049283203192e-05
0158 1.5260368585367178e-04 9.1750217611367627e-05
0159 1.5259934522877431e-04 9.1731452207200010e-05
0160 1.5259500527595648e-04 9.1712773016318537e-05
0161 1.5259066598992662e-04 9.1694108158488669e-05
0162 1.5258632737234618e-04 9.1675514896298469e-05
0163 1.5258198941949918e-04 9.1656956217257588e-05
0164 1.5257765213111453e-04 9.1638468506997797e-05
0165 1.5257331550772542e-04 9.1620059550127382e-05
0166 1.5256897954350765e-04 9.1601679323305107e-05
0167 1.5256464424323008e-04 9.1583423242313911e-05
0168 1.5256030960152407e-04 9.1565195669668641e-05
0169 1.5255597561828895e-04 9.1547031582121151e-05
0170 1.5255164229283275e-04 9.1528933415805012e-05
0171 1.5254730962109629e-04 9.1510885816067927e-05
0172 1.5254297760728229e-04 9.1492965479336057e-05
0173 1.5253864624707012e-04 9.1475078746089511e-05
0174 1.5253431553724351e-04 9.1457231291981121e-05
0175 1.5252998548072276e-04 9.1439494000555648e-05
0176 1.5252565607328083e-04 9.1421813206278782e-05
0177 1.5252132731621862e-04 9.1404228049378339e-05
0178 1.5251699920653669e-04 9.1386706607289697e-05
0179 1.5251267174455911e-04 9.1369275425929526e-05
0180 1.5250834492943290e-04 9.1351916698403885e-05
0181 1.5250401875897032e-04 9.1334604212100224e-05
0182 1.5249969323207236e-04 9.1317347242676148e-05
0183 1.5249536834813446e-04 9.1300157307476503e-05
0184 1.5249104410333282e-04 9.1283032887556339e-05
0185 1.5248672050185326e-04 9.1266056725879843e-05
0186 1.5248239754090209e-04 9.1249151135732733e-05
0187 1.5247807521863660e-04 9.1232297866560366e-05
0188 1.5247375353316409e-04 9.1215498990890491e-05
0189 1.5246943248454800e-04 9.1198783682181069e-05
0190 1.5246511207125818e-04 9.1182154299983498e-05
0191 1.5246079229552209e-04 9.1165625476504031e-05
0192 1.5245647315097329e-04 9.1149115827150731e-05
0193 1.5245215464120172e-04 9.1132707727351151e-05
0194 1.5244783676255012e-04 9.1116347019024044e-05
0195 1.5244351951396667e-04 9.1100059889011222e-05
0196 1.5243920289668069e-04 9.1083877723581989e-05
0197 1.5243488690779442e-04 9.1067766714909227e-05
0198 1.5243057154745929e-04 9.1051750372771236e-05
0199 1.5242625681497667e-04 9.1035824877435723e-05
0200 1.5242194271141611e-04 9.1019976936507498e-05
0201 1.5241762922975206e-04 9.1004133636736183e-05
0202 1.5241331637498242e-04 9.0988405070061563e-05
0203 1.5240900414239020e-04 9.0972729768873473e-05
0204 1.5240469253460591e-04 9.0957155340520561e-05
0205 1.5240038154740716e-04 9.0941629389878847e-05
0206 1.5239607118203375e-04 9.0926198521800944e-05
0207 1.5239176143614009e-04 9.0910845184728785e-05
0208 1.5238745231310161e-04 9.0895596509635404e-05
0209 1.5238314380488770e-04 9.0880358887800172e-05
0210 1.5237883591782384e-04 9.0865244214130599e-05
0211 1.5237452864560411e-04 9.0850157674739611e-05
0212 1.5237022199103426e-04 9.0835165368508987e-05
0213 1.5236591594985270e-04 9.0820225734736257e-05
0214 1.5236161052444735e-04 9.0805398410444361e-05
0215 1.5235730571421606e-04 9.0790650743476713e-05
0216 1.5235300151517396e-04 9.0775942163790735e-05
0217 1.5234869792965652e-04 9.0761327385098530e-05
0218 1.5234439495545327e-04 9.0746766735739178e-05
0219 1.5234009258950661e-04 9.0732264287030179e-05
0220 1.5233579083757763e-04 9.0717891433315096e-05
0221 1.5233148969201371e-04 9.0703525016355750e-05
0222 1.5232718915463825e-04 9.0689246295282968e-05
0223 1.5232288922710765e-04 9.0675057028645961e-05
0224 1.5231858990315137e-04 9.0660894029877273e-05
0225 1.5231429118638974e-04 9.0646846862208681e-05
0226 1.5230999307617120e-04 9.0632883886308108e-05
0227 1.5230569556854917e-04 9.0618969858780274e-05
0228 1.5230139866601354e-04 9.0605161261739440e-05
0229 1.5229710236699527e-04 9.0591421475839541e-05
0230 1.5229280666991969e-04 9.0577738722916453e-05
0231 1.5228851157583816e-04 9.0564123883437141e-05
0232 1.5228421708115593e-04 9.0550535241169086e-05
0233 1.5227992318565440e-04 9.0537015805691761e-05
0234 1.5227562989067329e-04 9.0523592899024595e-05
0235 1.5227133719428440e-04 9.0510236595611415e-05
0236 1.5226704509570846e-04 9.0496952181499631e-05
0237 1.5226275359413180e-04 9.0483743567880263e-05
0238 1.5225846269008005e-04 9.0470620346162371e-05
0239 1.5225417238208725e-04 9.0457558050502691e-05
0240 1.5224988266833385e-04 9.0444550196924563e-05
0241 1.5224559354979668e-04 9.0431629051550855e-05
0242 1.5224130502599029e-04 9.0418771930842517e-05
0243 1.5223701709324847e-04 9.0405955125417355e-05
0244 1.5223272975451008e-04 9.0393237209480669e-05
0245 1.5222844300867726e-04 9.0380575750319571e-05
0246 1.5222415684985541e-04 9.0367941359921313e-05
0247 1.5221987128632663e-04 9.0355447222926957e-05
0248 1.5221558630992637e-04 9.0342960229165790e-05
0249 1.5221130192296181e-04 9.0330553617296928e-05
0250 1.5220701812630619e-04 9.0318219982158613e-05
0251 1.5220273491401128e-04 9.0305907821673517e-05
0252 1.5219845229108900e-04 9.0293713451067252e-05
0253 1.5219417025529025e-04 9.0281576364594938e-05
0254 1.5218988880311778e-04 9.0269481225623843e-05
0255 1.5218560793945246e-04 9.0257487143618142e-05
0256 1.5218132765787947e-04 9.0245505523183943e-05
0257 1.5217704796090806e-04 9.0233604182641717e-05
0258 1.5217276884672680e-04 9.0221766581769622e-05
0259 1.5216849031634818e-04 9.0209999805417415e-05
0260 1.5216421236711921e-04 9.0198289082631225e-05
0261 1.5215993499938577e-04 9.0186648940580045e-05
0262 1.5215565821234740e-04 9.0175080602176649e-05
0263 1.5215138200779703e-04 9.0163586866682065e-05
0264 1.5214710637993445e-04 9.0152106391398485e-05
0265 1.5214283133334659e-04 9.0140715946676023e-05
0266 1.5213855686326705e-04 9.0129354068754625e-05
0267 1.5213428297096505e-04 9.0118069779125491e-05
0268 1.5213000965668474e-04 9.0106863003292439e-05
0269 1.5212573691819858e-04 9.0095710069750947e-05
0270 1.5212146475547715e-04 9.0084631044839701e-05
0271 1.5211719317170198e-04 9.0073632514869165e-05
0272 1.5211292215712614e-04 9.0062620276817139e-05
0273 1.5210865172023044e-04 9.0051737297783897e-05
0274 1.5210438185585650e-04 9.0040894269014145e-05
0275 1.5210011256558853e-04 9.0030119717736880e-05
0276 1.5209584384886192e-04 9.0019381677499359e-05
0277 1.5209157570000896e-04 9.0008653663001855e-05
0278 1.5208730812412013e-04 8.9998036804889311e-05
0279 1.5208304112036990e-04 8.9987486854308202e-05
0280 1.5207877468455247e-04 8.9976967903521580e-05
0281 1.5207450881994745e-04 8.9966534935524993e-05
0282 1.5207024352414302e-04 8.9956145148616099e-05
0283 1.5206597879661196e-04 8.9945802886390788e-05
0284 1.5206171463610872e-04 8.9935512781264416e-05
0285 1.5205745104343544e-04 8.9925295632425851e-05
0286 1.5205318801736318e-04 8.9915136264270059e-05
