# step du_rel dp_rel
# u_rtol 1.0000000000000000e-04
# p_rtol 1.0000000000000000e-03
0001 9.6077206302168255e-05 2.6234463973741208e-03
0002 9.6076424517040301e-05 2.4806162616243100e-03
0003 9.6075650163323520e-05 2.3434043177596865e-03
0004 9.6074881556941949e-05 2.2113975916497682e-03
0005 9.6074117524645969e-05 2.0843266689377360e-03
0006 9.6073357251524424e-05 1.9620210370196456e-03
0007 9.6072600173495061e-05 1.8443755462245596e-03
0008 9.6071845901328390e-05 1.7313260201614815e-03
0009 9.6071094167105343e-05 1.6228313877250319e-03
0010 9.6070344786495571e-05 1.5188609914026754e-03
0011 9.6069597632341609e-05 1.4193860739330343e-03
0012 9.6068852616060181e-05 1.3243735273925855e-03
0013 9.6068109674823655e-05 1.2337829640158323e-03
0014 9.6067368762409538e-05 1.1475641001780833e-03
0015 9.6066629843340147e-05 1.0656566171291682e-03
0016 9.6065892888419366e-05 9.8798993805735520e-04
