# step du_rel dp_rel
# u_rtol 1.0000000000000000e-03
# p_rtol 2.0000000000000000e-02
0001 1.0245042279795479e-03 1.2274928985889862e-02
0002 1.0227367599562535e-03 9.3209748089667799e-03
0003 1.0209687843486842e-03 6.9548282754144288e-03
0004 1.0192008455506378e-03 5.0609603144216222e-03
0005 1.0174334683534963e-03 3.5466952093526748e-03
0006 1.0156671209856937e-03 2.3383449387361938e-03
0007 1.0139021932841961e-03 1.3800210212351356e-03
0008 1.0121390300000326e-03 6.4476464784201206e-04
0009 1.0103779184402880e-03 3.1167017610593512e-04
0010 1.0086191123216471e-03 6.3314932886720306e-04
0011 1.0068628175189623e-03 1.0006483171146809e-03
0012 1.0051092202609407e-03 1.3077163759429816e-03
0013 1.0033584794637066e-03 1.5565994010813141e-03
0014 1.0016107335488842e-03 1.7567348653312680e-03
0015 9.9986610136868089e-04 1.9171402896905013e-03
