# step du_rel dp_rel
# u_rtol 1.0000000000000000e-03
# p_rtol 2.0000000000000000e-02
0001 1.0257007713797182e-03 1.4146186322216944e-02
0002 1.0238218630383893e-03 1.0832425371349791e-02
0003 1.0219432640431059e-03 8.1801757755942187e-03
0004 1.0200654587575533e-03 6.0580025151071746e-03
0005 1.0181889528324221e-03 4.3603667545019107e-03
0006 1.0163141974459979e-03 3.0028537238642795e-03
0007 1.0144415832832009e-03 1.9183949392429696e-03
0008 1.0125714426641960e-03 1.0553289775004620e-03
0009 1.0107040568327463e-03 3.8843332228021140e-04
0010 1.0088396660805573e-03 2.8039444774059070e-04
0011 1.0069784760127400e-03 6.8371921189773293e-04
0012 1.0051206625711080e-03 1.0315790363971018e-03
0013 1.0032663770048855e-03 1.3129680838049500e-03
0014 1.0014157490249292e-03 1.5387941022463533e-03
0015 9.9956889272804464e-04 1.7195598642623688e-03
