# step du_rel dp_rel
# u_rtol 1.0000000000000000e-03
# p_rtol 2.0000000000000000e-02
0001 1.1152371387252499e-03 4.4816287901293099e-02
0002 1.1127905942022226e-03 3.5478928040776098e-02
0003 1.1103414970368511e-03 2.7988659540262573e-02
0004 1.1078910386091122e-03 2.1985994626153083e-02
0005 1.1054405207640890e-03 1.7178453364575838e-02
0006 1.1029911137911295e-03 1.3329711149870327e-02
0007 1.1005438113326439e-03 1.0249658812246907e-02
0008 1.0980994470160205e-03 7.7857879431993352e-03
0009 1.0956587133123187e-03 5.8161206952944740e-03
0010 1.0932221875789455e-03 4.2434749853082687e-03
0011 1.0907903529172472e-03 2.9912209525797323e-03
0012 1.0883636104408959e-03 2.0009759123410355e-03
0013 1.0859422968138178e-03 1.2349706316425136e-03
0014 1.0835266918754664e-03 6.9818658622244434e-04
0015 1.0811170333699799e-03 5.1235329865847361e-04
0016 1.0787135184248935e-03 6.8538390691764810e-04
0017 1.0763163139184918e-03 9.3971189276247113e-04
0018 1.0739255581556527e-03 1.1711857540677708e-03
0019 1.0715413703499097e-03 1.3649752242240990e-03
0020 1.0691638471426650e-03 1.5232018351014414e-03
0021 1.0667930717336710e-03 1.6510453440342844e-03
0022 1.0644291130778320e-03 1.7537685441405073e-03
0023 1.0620720263988625e-03 1.8360066825486904e-03
0024 1.0597218602573265e-03 1.9016551261599689e-03
0025 1.0573786521941759e-03 1.9539197787010018e-03
0026 1.0550424332193781e-03 1.9954110723461307e-03
0027 1.0527132274827319e-03 2.0282428954072279e-03
0028 1.0503910541561988e-03 2.0541191399670233e-03
0029 1.0480759271851642e-03 2.0744143649478628e-03
0030 1.0457678561200188e-03 2.0902309717417949e-03
0031 1.0434668457754467e-03 2.1024550448205930e-03
0032 1.0411729007630940e-03 2.1117976763660269e-03
0033 1.0388860188961394e-03 2.1188293852378495e-03
0034 1.0366061988765875e-03 2.1240072853384150e-03
0035 1.0343334341176966e-03 2.1276980701883850e-03
0036 1.0320677180184967e-03 2.1301956534141887e-03
0037 1.0298090425721724e-03 2.1317351317405343e-03
0038 1.0275573958029537e-03 2.1325056353670266e-03
0039 1.0253127663847775e-03 2.1326581664763526e-03
0040 1.0230751412451103e-03 2.1323139154054626e-03
0041 1.0208445058169423e-03 2.1315700019482109e-03
0042 1.0186208445881213e-03 2.1305042517218574e-03
0043 1.0164041423648860e-03 2.1291791937969404e-03
0044 1.0141943810444522e-03 2.1276447399016245e-03
0045 1.0119915430639370e-03 2.1259411173838020e-03
0046 1.0097956110118825e-03 2.1241005150950927e-03
0047 1.0076065652402236e-03 2.1221488051191275e-03
0048 1.0054243869333859e-03 2.1201066829592504e-03
0049 1.0032490556937854e-03 2.1179910135205905e-03
0050 1.0010805514272310e-03 2.1158147744778240e-03
0051 9.9891885453098276e-04 2.1135896935677600e-03
