# step du_rel dp_rel
# u_rtol 1.0000000000000000e-03
# p_rtol 2.0000000000000000e-02
0001 1.0196141872023275e-03 1.1895252977368142e-02
0002 1.0178196397510970e-03 9.0199582866659234e-03
0003 1.0160254705449076e-03 6.7175414727712705e-03
0004 1.0142321080258672e-03 4.8748824655886870e-03
0005 1.0124399991358428e-03 3.4010333777181588e-03
0006 1.0106495454673254e-03 2.2234844702698525e-03
0007 1.0088610921465738e-03 1.2859808455252422e-03
0008 1.0070749335479672e-03 5.5501847706517979e-04
0009 1.0052913197530352e-03 2.3507762150626514e-04
0010 1.0035104631768289e-03 6.1673632580117120e-04
0011 1.0017325472458365e-03 9.8883758252315017e-04
0012 9.9995772793770436e-04 1.2928039117741791e-03
