# step du_rel dp_rel
# u_rtol 1.0000000000000000e-03
# p_rtol 2.0000000000000000e-02
0001 1.0213221907213574e-03 1.1076378468842992e-02
0002 1.0195849567765287e-03 8.3554800764759664e-03
0003 1.0178475304334371e-03 6.1763977113524788e-03
0004 1.0161103575925456e-03 4.4327514316593961e-03
0005 1.0143739038392539e-03 3.0391818976655345e-03
0006 1.0126385867373529e-03 1.9284846255517892e-03
0007 1.0109047666400294e-03 1.0524121582891934e-03
0008 1.0091727511319260e-03 4.1627143155665842e-04
0009 1.0074428031519337e-03 4.0687167005235285e-04
0010 1.0057151479139941e-03 7.9555492930333933e-04
0011 1.0039899801347802e-03 1.1444437431608857e-03
0012 1.0022674635821833e-03 1.4299691074610363e-03
0013 1.0005477534799528e-03 1.6601886066238566e-03
0014 9.9883095794932623e-04 1.8449874089125414e-03
