# step du_rel dp_rel
# u_rtol 1.0000000000000000e-03
# p_rtol 2.0000000000000000e-02
0001 1.0372807890116052e-03 3.8212401760083177e-02
0002 1.0344053716288308e-03 3.0602116695195955e-02
0003 1.0315186559567212e-03 2.4558197584517837e-02
0004 1.0286228930631647e-03 1.9747173578945496e-02
0005 1.0257199116941902e-03 1.5911187047109140e-02
0006 1.0228111167467975e-03 1.2849017477247834e-02
0007 1.0198976117516230e-03 1.0402602697218311e-02
0008 1.0169803036069126e-03 8.4471834748807099e-03
0009 1.0140599728963324e-03 6.8839343784157531e-03
0010 1.0111373145328707e-03 5.6343574912464008e-03
0011 1.0082129637021785e-03 4.6359585169240764e-03
0012 1.0052875123820520e-03 3.8388770410196405e-03
0013 1.0023615118858271e-03 3.2032375665527590e-03
0014 9.9943548342282078e-04 2.6970584155921566e-03
